#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4862.083185593873     All      0.012930962288388081      0.7321318822398837         1.793723923788768         0.3143130610783573        
Zeropoint     AB|PS|PS_i                5889.035751691104     All      0.7878329887177506        -0.11151363579404716       -5.797279430574557        -0.5516527382737825       
Zeropoint     AB|PS|PS_g                3828.6166100334563    All      -0.7217619285965162       0.36047708314885796        0.023835257681321935      0.35358450881033077       
Zeropoint     AB|PS|PS_z                6767.939043610634     All      0.9150184252079943        0.023651603215668615       4.050598075092447         -0.10958791065298384      
Check         All|All|All               All                   All      0.9940204476176165        1.004746932810363          0.07087782598798009       0.006656920961921775      
Lambda        AB|PS|PS_r                4862.083185593873     All      -9.915954083841954e-05    2.6602884460564274e-05     -0.0014152771412199838    -2.219235929907296e-05    
Lambda        AB|PS|PS_i                5889.035751691104     All      -0.0002623828712918025    8.732642780379579e-05      0.0010604432308183203     0.0001612345347614685     
Lambda        AB|PS|PS_g                3828.6166100334563    All      -0.0011989269574042075    0.0004727738124537783      -0.0007274320364225025    0.0005120659872534537     
Lambda        AB|PS|PS_z                6767.939043610634     All      -0.001008486925540503     -2.9581887006157194e-05    -0.004336602370377459     0.00012533892957414784    
MWEBV         All|All|All               All                   All      -0.46467169511827944      -2.960617767511664         0.17126472667502118       -0.8053689918042043       
Redshift      All|All|All               All                   All      9.047751488209933         -0.04063931128310827       28.445458814962894        -1.690997700926099        
