#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5512.020846108541    All      0.43093629255007154        0.44243876975507135       -0.15414276065198587      -0.00313194820987695      
Zeropoint     AB|PS|PS_z                7672.641472714157    All      0.3953109385493713         -0.05411900366496525      0.2502988777132736        -0.13522442865394727      
Zeropoint     AB|PS|PS_i                6676.251019928817    All      1.0529904266394443         -0.18009775711220755      -0.127953504950028        -0.4073673661009139       
Zeropoint     AB|PS|PS_g                4340.405904364257    All      -0.8823141832609117        0.7905445020000457        0.032926277859105686      0.5463744577614511        
Check         All|All|All               All                  All      0.9969234744779755         0.9987665109779442        0.0011288899703654001     0.0006507147967129701     
Lambda        AB|PS|PS_r                5512.020846108541    All      7.032468639449938e-05      1.0104250520231418e-05    -0.0003847457333959746    -3.678521216596629e-05    
Lambda        AB|PS|PS_z                7672.641472714157    All      -9.800736816581841e-05     1.3956651894359367e-05    -5.685307195564136e-05    3.3933273355783364e-05    
Lambda        AB|PS|PS_i                6676.251019928817    All      -0.0004057741886483534     1.511321225278874e-05     -0.0003315450966861602    0.00012230153832414926    
Lambda        AB|PS|PS_g                4340.405904364257    All      -0.00041852406114954564    0.0002697519820952781     -0.000504788497355124     0.00020166775866683117    
MWEBV         All|All|All               All                  All      -0.5793226928862194        -3.558506475559753        0.04111065350164134       -0.9685835906005892       
Redshift      All|All|All               All                  All      2.4202306840902064         1.3538263729319766        -0.30140541798465387      -0.3608133073036246       
