#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                5512.020846108541    All      0.514227616069141          0.4242382911385789        -0.11050018967496134       -0.03424359964691592       
Zeropoint     AB|PS|PS_z                7672.641472714157    All      0.3689706354710735         -0.04116121392652161      0.27181110352776927        -0.12146375511866148       
Zeropoint     AB|PS|PS_i                6676.251019928817    All      1.0469771948758808         -0.17179073952817703      -0.12336600334318937       -0.40249807063911236       
Zeropoint     AB|PS|PS_g                4340.405904364257    All      -0.9327181310407316        0.7876990564920305        -0.03526714129405417       0.5588226674838687         
Check         All|All|All               All                  All      0.997457315375364          0.9989853941759108        0.002677769215564396       0.0006172420791789035      
Lambda        AB|PS|PS_r                5512.020846108541    All      4.005797235475184e-05      -4.345043449026556e-05    -0.0004825089235983112     -4.8733592631265814e-05    
Lambda        AB|PS|PS_z                7672.641472714157    All      -0.00010391261011917993    1.5180891113744955e-05    -4.9782203137058964e-05    3.657112032675824e-05      
Lambda        AB|PS|PS_i                6676.251019928817    All      -0.0004881332020104096     9.897881793795045e-06     -0.0004560001742498328     0.00014187591528728912     
Lambda        AB|PS|PS_g                4340.405904364257    All      -0.000315445982059264      0.00013564953380699465    -0.0006102428780918519     0.00011970431321422637     
MWEBV         All|All|All               All                  All      -0.5884063856480077        -3.5544456899236465       0.03946146559994368        -0.964375597227507         
Redshift      All|All|All               All                  All      2.775653091368145          1.8466620356289098        0.3066721993592647         -0.2889175779892561        
