#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5377.419428480739    All      0.8675444247676032        0.32794997859983965        -0.24897340117665534       -0.18687420264787147      
Zeropoint     AB|SDSS|SDSS_z            7752.997863943822    All      0.113641526694029         0.00284201941855855        0.13667774331106441        -0.02999174476933375      
Zeropoint     AB|SDSS|SDSS_g            4115.26370253035     All      -0.8946181952208787       0.6385987262664372         -0.1681359026147411        0.49191605955345163       
Zeropoint     AB|SDSS|SDSS_u            3129.602693091796    All      -0.060417192297198774     0.06238028357916647        0.2800839899902985         0.052498039903920574      
Zeropoint     AB|SDSS|SDSS_i            6521.060934228052    All      0.9698092838820812        -0.03066236374014153       0.015864616743510584       -0.3251785651883915       
Check         All|All|All               All                  All      0.9959598478256361        1.0011086441238604         0.015517046253477051       0.0023695868517754626     
Lambda        AB|SDSS|SDSS_r            5377.419428480739    All      0.0002388478362837445     5.96047303016587e-05       -0.0003526104146004224     -7.41207598639556e-05     
Lambda        AB|SDSS|SDSS_z            7752.997863943822    All      -2.184884052027528e-06    -2.716476767976369e-07     -2.793791449794508e-06     4.985299500351932e-07     
Lambda        AB|SDSS|SDSS_g            4115.26370253035     All      -0.0008985605180141847    0.000324627888682497       -0.0020712163567329824     0.0003060038325160466     
Lambda        AB|SDSS|SDSS_u            3129.602693091796    All      -3.860743088863164e-05    4.102124955113109e-05      0.00019938739796357036     3.4835424742922435e-05    
Lambda        AB|SDSS|SDSS_i            6521.060934228052    All      -0.0003219381246204561    -1.8793063567854263e-05    -0.00035156995216725263    8.30553672982698e-05      
MWEBV         All|All|All               All                  All      -0.6904233262742521       -3.3751320904610083        0.32350050433097577        -0.8600616270662581       
Redshift      All|All|All               All                  All      5.673966158002059         -0.7634243393630058        3.404480458027781          -1.944943542219954        
