#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5377.419428480739    All      0.8922163614447851         0.3624768644383991        0.09875144723856125       -0.16814675854550593      
Zeropoint     AB|SDSS|SDSS_z            7752.997863943822    All      0.1120049497179618         0.0046571534097594736     0.12884561688411192       -0.029216920780156024     
Zeropoint     AB|SDSS|SDSS_g            4115.26370253035     All      -0.862466234897769         0.5666939695396778        -0.6405977317338213       0.4369375619511118        
Zeropoint     AB|SDSS|SDSS_u            3129.602693091796    All      -0.07701347139434432       0.05945509969365048       0.20477491450313226       0.05359046722310226       
Zeropoint     AB|SDSS|SDSS_i            6521.060934228052    All      0.9289337779696262         0.007608874293119072      0.21858893727921885       -0.2903512114883564       
Check         All|All|All               All                  All      0.9936753828402599         1.000891961374606         0.010363184171202994      0.0028131383601956994     
Lambda        AB|SDSS|SDSS_r            5377.419428480739    All      0.00024508511452487475     8.432111691470479e-05     -6.908385349748624e-05    -5.544901809098553e-05    
Lambda        AB|SDSS|SDSS_z            7752.997863943822    All      -6.570586273684144e-07     1.1550864682750735e-06    1.1981826156390206e-05    1.12496914627653e-06      
Lambda        AB|SDSS|SDSS_g            4115.26370253035     All      -0.000829008892475912      0.00030866566856307373    -0.0019674057972368735    0.0002827817481490339     
Lambda        AB|SDSS|SDSS_u            3129.602693091796    All      -5.601689352478056e-05     4.4500311901159106e-05    0.00015727103843669283    3.97600448507383e-05      
Lambda        AB|SDSS|SDSS_i            6521.060934228052    All      -0.00024240427057527507    -7.000281796766024e-06    -0.0001380940743758166    7.051631941010495e-05     
MWEBV         All|All|All               All                  All      -0.7365026947327893        -3.3449572653308834       0.40011370601111096       -0.831804232206701        
Redshift      All|All|All               All                  All      5.581728824666743          -0.5478263664221217       4.054919959027896         -1.815645327915975        
