#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     VEGAHST|UVOT|UVOT_v       5389.544458815882     All      2.0911317015301933        0.33123549382416684       0.39254252541516266       -0.555738723688648        
Zeropoint     VEGAHST|UVOT|UVOT_b       4337.984437346117     All      -0.357584622649215        0.4754446913967314        -0.30959407817965356      0.2575292916401739        
Zeropoint     VEGAHST|UVOT|UVOT_u       3460.7707377601505    All      -0.7436825016020252       0.1937393698547396        -0.07987188058065087      0.30178482860495626       
Check         All|All|All               All                   All      0.9898645772789532        1.0004195550756378        0.003076566654858226      0.003575396556482202      
Lambda        VEGAHST|UVOT|UVOT_v       5389.544458815882     All      0.0011039702796208253     0.0001271529591569794     -0.0004364299232699936    -0.0003376574006357769    
Lambda        VEGAHST|UVOT|UVOT_b       4337.984437346117     All      -0.0003774533769403884    -7.448352853695235e-06    -0.002562767113303374     6.158283245645232e-06     
Lambda        VEGAHST|UVOT|UVOT_u       3460.7707377601505    All      -0.0006743681952947925    0.0001557350773168854     0.00013907471804822674    0.0002765982113955326     
MWEBV         All|All|All               All                   All      -1.489394675831789        -3.9136404262838376       0.08964637113617613       -0.785656090425535        
Redshift      All|All|All               All                   All      0.14984204761584907       -0.9748129483613255       -0.7071128471133448       -0.397892330954952        
