#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4251.785825861562    All      -0.7754040985114792       0.6623896543361596        -0.10221238307141745      0.46377545809995263        
Zeropoint     AB|SDSS|SDSS_i            6737.394357664717    All      0.8773976530053922        -0.023859661388669906     0.5322001993788043        -0.2698195071919107        
Zeropoint     AB|SDSS|SDSS_r            5555.813031293436    All      0.8672613707612874        0.3097367198041212        -0.5684685035289396       -0.20697225926404916       
Zeropoint     AB|SDSS|SDSS_u            3233.425931583479    All      -0.10474006317523821      0.06567438835212158       0.09480502762252664       0.05974030629043842        
Zeropoint     AB|SDSS|SDSS_z            8010.200271147316    All      0.12890057235058855       -0.013239891665151049     0.04990338655386358       -0.0440728664683584        
Check         All|All|All               All                  All      0.9934154344305507        1.0007012094385814        0.0062277269548373995     0.0026511314660727647      
Lambda        AB|SDSS|SDSS_g            4251.785825861562    All      -0.0005233150067668876    0.0002933276347504141     -0.0008128684821129556    0.00022973278810026933     
Lambda        AB|SDSS|SDSS_i            6737.394357664717    All      -0.0005433037645162581    -5.599456276127694e-06    -0.0008015758585636146    0.00013937733407717108     
Lambda        AB|SDSS|SDSS_r            5555.813031293436    All      9.926859809827936e-06     -2.540381842587367e-05    -0.0009464819778672493    -5.374550788388103e-05     
Lambda        AB|SDSS|SDSS_u            3233.425931583479    All      -7.113122674064017e-05    4.5000296610424484e-05    7.877608744991246e-05     4.134327274648295e-05      
Lambda        AB|SDSS|SDSS_z            8010.200271147316    All      1.0954269953702547e-05    2.2341903925287236e-08    3.270225007722099e-05     -2.1015373906182362e-06    
MWEBV         All|All|All               All                  All      -0.7932137888865984       -3.521525950929316        0.1480805775129629        -0.8820928739164307        
Redshift      All|All|All               All                  All      3.0541604099750437        0.39004281102492655       -1.3221922031404771       -0.9267941142607046        
