#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                4099.010862405535    All      -0.9464592628863211       0.5650648556915883        -0.548833858020799        0.4678611987065342        
Zeropoint     AB|PS|PS_i                6304.946139557557    All      0.7294130305127375        -0.14994174546316685      -2.371271929675037        -0.3922537558115259       
Zeropoint     AB|PS|PS_z                7245.92156424252     All      0.634179776374816         -0.04123705453071835      1.2309088007954188        -0.16507567595979217      
Zeropoint     AB|PS|PS_r                5205.465530144696    All      0.5781548008412387        0.6237766468148109        1.678763330572489         0.08977603331009879       
Check         All|All|All               All                  All      0.995288344842471         0.997662702512514         -0.010433656327928365     0.000307800245314932      
Lambda        AB|PS|PS_g                4099.010862405535    All      -0.0007414550198436975    0.0003870101042861741     -0.0008633654852007915    0.00032905018001868513    
Lambda        AB|PS|PS_i                6304.946139557557    All      -0.0002921410041453348    3.98321588940474e-05      4.6448215901337423e-05    0.00011020735134132425    
Lambda        AB|PS|PS_z                7245.92156424252     All      -0.0003433265263531348    1.4694821412104512e-05    -0.0009906386929547568    7.241167649199924e-05     
Lambda        AB|PS|PS_r                5205.465530144696    All      5.325932545774437e-05     7.795633199238287e-05     -4.455595134382095e-05    6.056300065320855e-06     
MWEBV         All|All|All               All                  All      -0.5068008466816107       -3.271514042117296        0.1924699420922316        -0.8919689945827524       
Redshift      All|All|All               All                  All      6.923582183783437         -0.3577489433874703       0.7412373134414566        -2.3386910798792924       
