#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                4099.010862405535    All      -0.957652451551055         0.5727114925381471        -0.39491681430405823       0.48086656043307696       
Zeropoint     AB|PS|PS_i                6304.946139557557    All      0.743032997432005          -0.15621998486512467      -1.6442089093424261        -0.36628977292411796      
Zeropoint     AB|PS|PS_z                7245.92156424252     All      0.567065507916806          -0.01933426130893423      1.018922298351832          -0.14553987438160887      
Zeropoint     AB|PS|PS_r                5205.465530144696    All      0.6390635027973681         0.6013432672178354        0.980328677187936          0.03146084468899496       
Check         All|All|All               All                  All      0.991509556595124          0.9985005135819236        -0.03987474810671632       0.0004977578163450902     
Lambda        AB|PS|PS_g                4099.010862405535    All      -0.0007879013370690477     0.0004153959902000933     -0.0007506971531788522     0.00035845336067870956    
Lambda        AB|PS|PS_i                6304.946139557557    All      -0.00023778015251817912    3.440893587568992e-05     -0.0004956454949280201     6.654255882369065e-05     
Lambda        AB|PS|PS_z                7245.92156424252     All      -0.00034448647982579197    1.2729645010150733e-05    -0.0008730503908637183     7.739681475166556e-05     
Lambda        AB|PS|PS_r                5205.465530144696    All      2.5918356315323883e-05     4.379651861547809e-05     -3.8805257243776436e-05    4.091805230539685e-06     
MWEBV         All|All|All               All                  All      -0.5013759419929333        -3.2701975913999703       0.1691480768112541         -0.8943480009393795       
Redshift      All|All|All               All                  All      7.087961327601427          -0.23357884097965353      -1.637878715869423         -2.4579575090082058       
