#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                5425.790726840373    All      0.5252777678927228         0.4656922050074286         0.1493054331358601         -0.012746162392730104      
Zeropoint     AB|PS|PS_z                7552.610578825008    All      0.555818405740347          -0.08874484174423714       0.17089788432232966        -0.20232906753499189       
Zeropoint     AB|PS|PS_g                4272.504543093132    All      -0.8923873386313799        0.7468969625083588         -0.01997863957264867       0.5330772728072593         
Zeropoint     AB|PS|PS_i                6571.807670060297    All      0.8075538733138399         -0.12536812892225413       -0.3014901316889751        -0.31733750823370804       
Check         All|All|All               All                  All      0.99626270831553           0.9984761968492961         -0.0012654538034340135     0.0006645346458292178      
Lambda        AB|PS|PS_r                5425.790726840373    All      8.006901993222344e-05      0.00012963983776145534     -0.0004288598782589787     -2.9912004860743302e-06    
Lambda        AB|PS|PS_z                7552.610578825008    All      1.1682142356825432e-05     -2.7435206891963065e-05    -0.00021324130641204076    -2.225778769616876e-05     
Lambda        AB|PS|PS_g                4272.504543093132    All      -0.0005846254878206628     0.00031547719782377775     -0.0006196799116351745     0.0002655395888437856      
Lambda        AB|PS|PS_i                6571.807670060297    All      -0.00017763489599531828    1.2642797714286966e-05     -5.076329257193817e-05     5.971437219128655e-05      
MWEBV         All|All|All               All                  All      -0.543159808045496         -3.4844349045103584        0.034094086755132036       -0.9565486014916642        
Redshift      All|All|All               All                  All      3.272296106981552          0.470707232595835          -1.4461939569231586        -0.97710666009257          
