#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                5425.790726840373    All      0.4913673596972192         0.4777659709382931        0.14224531392085876        0.0019173352600102857      
Zeropoint     AB|PS|PS_z                7552.610578825008    All      0.5441878196425404         -0.08566618885677002      0.22247199385556005        -0.19523626884074877       
Zeropoint     AB|PS|PS_g                4272.504543093132    All      -0.8934553810852951        0.7340010603751779        -0.08323178305023658       0.5264018525024725         
Zeropoint     AB|PS|PS_i                6571.807670060297    All      0.8546074910445809         -0.12749482443918936      -0.2807052114327031        -0.33242961871337157       
Check         All|All|All               All                  All      0.9967072892990455         0.9986060180175116        0.0007803132934791068      0.0006533002083624617      
Lambda        AB|PS|PS_r                5425.790726840373    All      8.191457569008801e-05      0.00015767906941475894    -0.0003036724033738215     1.1127483538259734e-05     
Lambda        AB|PS|PS_z                7552.610578825008    All      -1.4835598087072309e-05    -2.778550014825982e-05    -0.0002647845062229195     -1.6034325541930777e-05    
Lambda        AB|PS|PS_g                4272.504543093132    All      -0.0005302927739850819     0.0003037653682215614     -0.0005223125749549341     0.00024837176528919134     
Lambda        AB|PS|PS_i                6571.807670060297    All      -0.000253176580142056      1.1306464012626738e-05    -0.00017993677597288396    7.812107682293084e-05      
MWEBV         All|All|All               All                  All      -0.542838992577424         -3.4844762406825325       0.036617771454924584       -0.9565539457380404        
Redshift      All|All|All               All                  All      3.4912234970832            0.39830003131218206       -0.5174266749578632        -1.0305573030098518        
