#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_v       5382.983818774214    All      2.010539360274877         0.3795315529020904         0.8935667253952007         -0.49139712247349976       
Zeropoint     VEGAHST|UVOT|UVOT_u       3456.557975206528    All      -0.7003165018584732       0.19481042442652807        0.11895220004599083        0.2968805790525414         
Zeropoint     VEGAHST|UVOT|UVOT_b       4332.70385108929     All      -0.3160757165313878       0.42497658125624227        -1.0068246846421158        0.1964551517888144         
Check         All|All|All               All                  All      0.9941471418850161        0.9993185585848607         0.005694240799075656       0.0019386083678560317      
Lambda        VEGAHST|UVOT|UVOT_v       5382.983818774214    All      0.0007193351794034278     8.360959409646318e-05      -0.00046954399205734594    -0.00022803032971297103    
Lambda        VEGAHST|UVOT|UVOT_u       3456.557975206528    All      -0.0004412271169943505    -0.00013606152869521717    -0.002049843269691551      7.927381221951407e-06      
Lambda        VEGAHST|UVOT|UVOT_b       4332.70385108929     All      -0.0004907592268117407    -0.0001673480671296582     -0.0031937428484846587     -3.717642037795298e-05     
MWEBV         All|All|All               All                  All      -1.5374048435520766       -3.878307032697359         0.3781840291448235         -0.7456322401148019        
Redshift      All|All|All               All                  All      0.8167554912189502        0.7482127799182337         4.512772158271727          0.17905767895195768        
