#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6508.456346638942     All      0.9672607313425998         0.037946713249503716      0.6558594830475162        -0.27344015274123334      
Zeropoint     AB|SDSS|SDSS_g            4107.309291075833     All      -0.7857552371886032        0.5861543573074002        -0.33763455845616797      0.4318090097679181        
Zeropoint     AB|SDSS|SDSS_z            7738.012060001809     All      0.18230515610763956        0.0056419042619992865     0.31169610406516224       -0.04363546761847331      
Zeropoint     AB|SDSS|SDSS_u            3123.5534701720812    All      -0.09071914835047759       0.04819025926448006       0.12136305727754593       0.05066323988989624       
Zeropoint     AB|SDSS|SDSS_r            5367.0253906281105    All      0.7198363936034515         0.3230182493611622        -0.7408221713149254       -0.1623162155415095       
Check         All|All|All               All                   All      0.9929278955146099         1.0009514834445454        0.01046191461913093       0.003080413756598177      
Lambda        AB|SDSS|SDSS_i            6508.456346638942     All      -0.0004746689681629261     -2.934597675248663e-05    -0.0006339140447474362    0.00011676767663844974    
Lambda        AB|SDSS|SDSS_g            4107.309291075833     All      -0.0005442323243118102     0.00019243300322406201    -0.0015872277406497207    0.0001691254485559806     
Lambda        AB|SDSS|SDSS_z            7738.012060001809     All      -1.3666559874909832e-06    1.0531027245575885e-06    1.371046199999845e-05     1.4000299693968598e-06    
Lambda        AB|SDSS|SDSS_u            3123.5534701720812    All      -3.638288752239432e-05     2.4586462360624062e-05    0.00010421873130754459    2.45105264078671e-05      
Lambda        AB|SDSS|SDSS_r            5367.0253906281105    All      0.0001277201704093996      4.126674033445123e-05     -0.0010649361197169068    -7.568393435705688e-05    
MWEBV         All|All|All               All                   All      -0.8110067534298007        -3.345143711395515        0.13433982760484575       -0.8194568083335019       
Redshift      All|All|All               All                   All      6.100420206719003          0.19814070172916587       10.427786518541948        -1.4572223947718537       
