#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6508.456346638942     All      0.9537347073856154         0.00020844342021320017    0.31813166093520673       -0.2963981193541625       
Zeropoint     AB|SDSS|SDSS_g            4107.309291075833     All      -0.7814088243603867        0.5850517497565377        -0.22166512498251578      0.4352092677505928        
Zeropoint     AB|SDSS|SDSS_z            7738.012060001809     All      0.12016469164721874        -0.0009692532303873236    0.1660844153295223        -0.03204572637702329      
Zeropoint     AB|SDSS|SDSS_u            3123.5534701720812    All      -0.0920710173432746        0.047674366164507376      0.0997162678218719        0.04996954794768027       
Zeropoint     AB|SDSS|SDSS_r            5367.0253906281105    All      0.7919193407197832         0.36836748383848317       -0.35653389776355837      -0.15387524458466045      
Check         All|All|All               All                   All      0.992338898048956          1.0003327899493542        0.005733321340526842      0.0028597253824268476     
Lambda        AB|SDSS|SDSS_i            6508.456346638942     All      -0.0002840849131564774     -8.386760979857852e-06    -0.000344419628105134     7.44340922235232e-05      
Lambda        AB|SDSS|SDSS_g            4107.309291075833     All      -0.0006415245254558522     0.00031994475582734734    -0.0013517367015311555    0.0002528603756265248     
Lambda        AB|SDSS|SDSS_z            7738.012060001809     All      -1.1787054342601717e-06    2.0485451971833327e-07    4.915790768151282e-06     6.700401593534954e-07     
Lambda        AB|SDSS|SDSS_u            3123.5534701720812    All      -6.774981500791735e-05     3.453127242963934e-05     6.751154604021296e-05     3.632904535669898e-05     
Lambda        AB|SDSS|SDSS_r            5367.0253906281105    All      0.00014077598841820876     5.963925755853244e-05     -0.0010403849161111378    -7.285650305110821e-05    
MWEBV         All|All|All               All                   All      -0.7633961827203439        -3.3539416887892415       0.23472723881434007       -0.833351099137242        
Redshift      All|All|All               All                   All      5.433863950512162          -0.585005422793472        5.393573339249695         -1.7198533634620279       
