#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                7092.168229818048    All      0.5441234218500168         -0.04399259882852391       0.08198898432544643        -0.18790994456871485      
Zeropoint     AB|PS|PS_i                6171.159638595755    All      1.2078804563329646         -0.09721834706351018       -0.5934685252888302        -0.4515973913228159       
Zeropoint     AB|PS|PS_r                5095.009230639463    All      -0.03412588329968713       0.6513006262858667         1.0751914812419445         0.2712468216663519        
Zeropoint     AB|PS|PS_g                4012.03274894553     All      -0.7225345447028272        0.48740999952663344        -0.5720698222016114        0.3685898953054853        
Check         All|All|All               All                  All      0.9953434501804673         0.9974996799204661         -0.008357881923050647      0.00032938108030644564    
Lambda        AB|PS|PS_z                7092.168229818048    All      -0.00041009883522912405    5.1038661327158076e-05     -0.00040300855802666264    0.0001322232326080226     
Lambda        AB|PS|PS_i                6171.159638595755    All      -0.00025390093737491173    1.4187488887499709e-05     -0.00030165099855376       7.386392164838643e-05     
Lambda        AB|PS|PS_r                5095.009230639463    All      -7.821232821891358e-05     -0.00010066325044674395    -0.001396281400993458      -6.962263002082545e-05    
Lambda        AB|PS|PS_g                4012.03274894553     All      -0.0006499581713016076     0.0003881887475571391      -0.000871352883083913      0.000299274128298453      
MWEBV         All|All|All               All                  All      -0.5152886361761824        -3.1724176445798946        0.05727773413560516        -0.8629582927775683       
Redshift      All|All|All               All                  All      8.165834292368821          -1.0391093533439033        -0.4350499584878365        -3.017767260594644        
