#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                7092.168229818048    All      0.47986275887563423        -0.032473922510867226     -0.023363762846173586     -0.16792752993368965      
Zeropoint     AB|PS|PS_i                6171.159638595755    All      1.2250850588259714         -0.03996892670983243      -0.1434477188450467       -0.41847111498943823      
Zeropoint     AB|PS|PS_r                5095.009230639463    All      0.12026441372072649        0.561242220399194         0.8255622966486298        0.18048203300303906       
Zeropoint     AB|PS|PS_g                4012.03274894553     All      -0.8297777409203331        0.5101307341167427        -0.6588040878291901       0.4070528713369631        
Check         All|All|All               All                  All      0.9954344905019991         0.9989301052952371        -5.327287178058526e-05    0.0011362594168742857     
Lambda        AB|PS|PS_z                7092.168229818048    All      -0.00032199713734488945    4.76916171983279e-05      -0.000188169935476608     0.00011202262976642413    
Lambda        AB|PS|PS_i                6171.159638595755    All      -0.000481542393657531      3.518552336611525e-05     -3.532088569194959e-05    0.00016673907351265446    
Lambda        AB|PS|PS_r                5095.009230639463    All      -4.4198634023189215e-05    -8.780067647267042e-05    -0.0007339893851282627    -4.695719485734632e-05    
Lambda        AB|PS|PS_g                4012.03274894553     All      -0.0005755772930869886     0.0003003542612332568     -0.000833384242052796     0.0002481296134068444     
MWEBV         All|All|All               All                  All      -0.5268261004501067        -3.1683787808233888       0.0535176948406324        -0.8580523635765849       
Redshift      All|All|All               All                  All      7.759767522191845          -0.5894148449964831       -2.5101301359109263       -2.831618956289292        
