#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6294.389201793462     All      0.7909331209793178        -0.01299748552892055      -0.28032533253688485      -0.27437627917452495       
Zeropoint     AB|PS|PS_g                3560.729919805127     All      -0.5116627459519913       0.22754710813224222       -0.17050416878245378      0.23317615080164084        
Zeropoint     AB|PS|PS_i                5476.9824027027225    All      0.9524913938962918        0.3033727298724642        0.2961490634528663        -0.19822353170383875       
Zeropoint     AB|PS|PS_r                4521.885274737458     All      -0.238617834343685        0.4811637189529705        0.15673088147716563       0.24145071141987856        
Check         All|All|All               All                   All      0.9931439345799333        0.9990860714287564        0.0020504436106932866     0.0020270513431557002      
Lambda        AB|PS|PS_z                6294.389201793462     All      0.00012274662303436061    -9.348445317649718e-05    -0.0014425130040742985    -0.00013480630546222695    
Lambda        AB|PS|PS_g                3560.729919805127     All      -0.0009434581216461332    0.00039999044957970487    -0.0005981447981487219    0.00041091294263174695     
Lambda        AB|PS|PS_i                5476.9824027027225    All      -8.414892496171338e-05    -6.914756480029997e-05    -0.0022747707204327544    -9.662613307422606e-05     
Lambda        AB|PS|PS_r                4521.885274737458     All      -0.0002495386940018748    -9.249582246218832e-05    -0.0009169463463419921    1.0234925762486488e-05     
MWEBV         All|All|All               All                   All      -0.47750709051604057      -2.632647358114326        -0.004851657157922684     -0.7022165943416682        
Redshift      All|All|All               All                   All      4.477994026477805         0.11400302673685303       5.124661863856505         -1.19280531739173          
