#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7823.199880101034     All      0.12076625156206125        -0.003697217920972662      0.12108680818889717       -0.03513829861926873       
Zeropoint     AB|SDSS|SDSS_r            5426.111004594534     All      0.7796232104521748         0.35335647494623146        -0.4940756161358806       -0.16089742505425372       
Zeropoint     AB|SDSS|SDSS_g            4152.526683122642     All      -0.7307881480889902        0.5928750811817096         -0.1115569541096817       0.4261823865008708         
Zeropoint     AB|SDSS|SDSS_u            3157.940688623543     All      -0.10973097955888012       0.05670770745034304        0.06679035980239334       0.057195103030016625       
Zeropoint     AB|SDSS|SDSS_i            6580.1079806867965    All      0.9325365665727273         0.0010016317954608667      0.41850628167110493       -0.2847555616248616        
Check         All|All|All               All                   All      0.992406900939093          1.0002436774527723         0.0007508794168331612     0.0025862042325033863      
Lambda        AB|SDSS|SDSS_z            7823.199880101034     All      1.029388773703001e-05      4.869860280545815e-07      3.0024313330496646e-05    -1.8545833168395397e-06    
Lambda        AB|SDSS|SDSS_r            5426.111004594534     All      6.499817900138018e-05      2.9044287302199228e-05     -0.0017048862760808525    -8.779260961637062e-05     
Lambda        AB|SDSS|SDSS_g            4152.526683122642     All      -0.0005003090167970614     0.00029199358900809414     -0.0006611711456940954    0.0002285739931091415      
Lambda        AB|SDSS|SDSS_u            3157.940688623543     All      -5.9192941838729984e-05    2.936545431259033e-05      2.825146661130638e-05     3.0107116311748954e-05     
Lambda        AB|SDSS|SDSS_i            6580.1079806867965    All      -0.0003879991411455159     -1.2053200580322288e-05    -0.0004717925921023754    0.00010140402457562481     
MWEBV         All|All|All               All                   All      -0.8014663870268115        -3.4078337626231914        0.0459308980706008        -0.8469299161435531        
Redshift      All|All|All               All                   All      4.2932838810277305         -0.06595326918237276       5.79763771077797          -1.161225011020691         
