#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7823.199880101034     All      0.1275145919509648         -0.007816564924922886     0.10828465506469878       -0.039249563235186954     
Zeropoint     AB|SDSS|SDSS_r            5426.111004594534     All      0.7370744659651429         0.35956949964592866       -0.5604523842342899       -0.14797620291834265      
Zeropoint     AB|SDSS|SDSS_g            4152.526683122642     All      -0.7444519308825257        0.6196684339659697        0.021164930937390893      0.4452833747188658        
Zeropoint     AB|SDSS|SDSS_u            3157.940688623543     All      -0.09745640105592805       0.04908709574582559       0.0392578921735707        0.0494859374689032        
Zeropoint     AB|SDSS|SDSS_i            6580.1079806867965    All      0.969457787859895          -0.020078452462790608     0.39430157490807577       -0.30472863992191507      
Check         All|All|All               All                   All      0.992138513837549          1.0004300119700105        0.0025566688494462197     0.0028149061123243224     
Lambda        AB|SDSS|SDSS_z            7823.199880101034     All      7.732174014086232e-06      -1.839894941315352e-07    1.6063280821476203e-05    -1.86172444158812e-06     
Lambda        AB|SDSS|SDSS_r            5426.111004594534     All      0.00012284732125802228     4.8712415210529056e-05    -0.0015395057477470301    -9.284924869343205e-05    
Lambda        AB|SDSS|SDSS_g            4152.526683122642     All      -0.0006082094484196074     0.00037493366787671003    -0.0006756598917545883    0.000290090459650143      
Lambda        AB|SDSS|SDSS_u            3157.940688623543     All      -7.014952357665405e-05     3.507387587347796e-05     2.5407313038249503e-05    3.540853463725479e-05     
Lambda        AB|SDSS|SDSS_i            6580.1079806867965    All      -0.00031186074061466943    -8.444332306694574e-06    -0.0004380196797574416    7.928589973329165e-05     
MWEBV         All|All|All               All                   All      -0.7750711632431253        -3.4139839040321363       0.09842366984069112       -0.8551885009839857       
Redshift      All|All|All               All                   All      3.92283190297677           -0.46376526041456145      4.821475539139184         -1.213698701801063        
