#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_v       5372.806528170489    All      2.03486072121991          0.33692180791673465        0.09712840139734122        -0.5487401701341172        
Zeropoint     VEGAHST|UVOT|UVOT_u       3450.022864534338    All      -0.6796211236575658       0.16321925251174818        -0.12465216526429437       0.26897818551404096        
Zeropoint     VEGAHST|UVOT|UVOT_b       4324.51226298928     All      -0.3676689668820209       0.500242828772457          0.02769230051608889        0.2839432054805153         
Check         All|All|All               All                  All      0.9875706306803236        1.0003838892009398         0.00016853664913573513     0.004181220860439039       
Lambda        VEGAHST|UVOT|UVOT_v       5372.806528170489    All      0.0007072638078746161     3.78809749843556e-05       -0.0017993643019739347     -0.00029833737532921484    
Lambda        VEGAHST|UVOT|UVOT_u       3450.022864534338    All      -6.338329619443917e-05    -8.461061802188686e-06     -0.00037407817261085125    1.1965878646787825e-06     
Lambda        VEGAHST|UVOT|UVOT_b       4324.51226298928     All      -0.0003089537930362964    -0.00010996494959571804    -0.0020240623744194252     -2.55073947410042e-05      
MWEBV         All|All|All               All                  All      -1.5442039618183219       -3.9044998943156717        -0.04025947389042159       -0.7706226320587419        
Redshift      All|All|All               All                  All      -0.31236885989844887      0.06633590859768113        1.2275553351507213         0.17813675876605173        
