#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5246.557361432997     All      0.7640960725974584         0.3546795118136714         -0.1154087484309424        -0.13851060564131143       
Zeropoint     AB|SDSS|SDSS_g            4015.1167971750774    All      -0.8640949640994503        0.6476102669136452         0.30300986727115065        0.5059340660681574         
Zeropoint     AB|SDSS|SDSS_z            7564.324962418069     All      0.12590401471131304        -0.0008802567567300912     0.08524425967117166        -0.0374937484993787        
Zeropoint     AB|SDSS|SDSS_u            3053.4423186030463    All      -0.052596055204717274      0.030641822425536702       0.08279919953701476        0.030808263181376222       
Zeropoint     AB|SDSS|SDSS_i            6362.36780557276      All      1.0212935915899461         -0.0320908855757196        -0.35333098176783817       -0.3588895184585862        
Check         All|All|All               All                   All      0.9946026595945502         0.9999604588204036         0.002313596280556496       0.0018484566502572353      
Lambda        AB|SDSS|SDSS_r            5246.557361432997     All      0.00011029027254897224     3.528719794977927e-05      -0.0020974604219275435     -0.00011803099426816496    
Lambda        AB|SDSS|SDSS_g            4015.1167971750774    All      -0.0009084827317632119     0.0005491912269817383      -0.00046487141181156445    0.00045406728838005405     
Lambda        AB|SDSS|SDSS_z            7564.324962418069     All      -1.0403833644990186e-05    -7.552631391767973e-07     -1.4890602673166678e-05    2.478357635045457e-06      
Lambda        AB|SDSS|SDSS_u            3053.4423186030463    All      -4.5161468956086125e-05    1.850011691689837e-05      3.226861323256344e-05      2.2176672926985567e-05     
Lambda        AB|SDSS|SDSS_i            6362.36780557276      All      -0.00017050019560000974    -2.5881302095062973e-05    -0.0003502764393005243     3.147590271035014e-05      
MWEBV         All|All|All               All                   All      -0.6122988231717144        -3.3198414675482013        0.010354430483194843       -0.8814736441043288        
Redshift      All|All|All               All                   All      5.448095643974912          -1.147722061699774         -2.5080424633682403        -2.2603972388130735        
