#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5246.557361432997     All      0.8255547533455618        0.3649181234532506        0.10528829746084085        -0.14534597170689773      
Zeropoint     AB|SDSS|SDSS_g            4015.1167971750774    All      -0.9058837595131336       0.5909107931948654        -0.22379991954231845       0.477568066361792         
Zeropoint     AB|SDSS|SDSS_z            7564.324962418069     All      0.12037297946475155       0.004695894749318086      0.12238729085013506        -0.03221824946871823      
Zeropoint     AB|SDSS|SDSS_u            3053.4423186030463    All      -0.054122573247270406     0.02309129821753686       0.03078378630257094        0.026524837194872797      
Zeropoint     AB|SDSS|SDSS_i            6362.36780557276      All      1.007500097717614         0.01608187609871692       -0.0337262450795283        -0.3244425788908119       
Check         All|All|All               All                   All      0.9934214977675233        0.9996979857136878        0.0009332099917000944      0.002086103490236968      
Lambda        AB|SDSS|SDSS_r            5246.557361432997     All      0.0001502025096038146     3.959383281519452e-05     -0.0018405797650072517     -0.0001181655063826103    
Lambda        AB|SDSS|SDSS_g            4015.1167971750774    All      -0.0008233099685202689    0.0004383655169544548     -0.0007055274109453517     0.0003794847655293846     
Lambda        AB|SDSS|SDSS_z            7564.324962418069     All      -8.931796013548796e-06    -7.29859407697504e-07     -1.2188447003117342e-05    2.127726177988344e-06     
Lambda        AB|SDSS|SDSS_u            3053.4423186030463    All      -5.697192561374126e-05    2.431926969417481e-05     3.217561652154163e-05      2.79150667007711e-05      
Lambda        AB|SDSS|SDSS_i            6362.36780557276      All      -0.0002511803525117958    -3.999736824891611e-05    -0.0005250391569401332     4.535915953162261e-05     
MWEBV         All|All|All               All                   All      -0.6793230142768825       -3.2812558954832483       0.11718821875304403        -0.8423055684811723       
Redshift      All|All|All               All                   All      5.368403961470007         -0.6220025406440399       -1.226411064950539         -2.0060015693851048       
