#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_b       4317.398729613148    All      -0.30309443153024485       0.46406331015518276        -0.350331902355705        0.23425481142107363        
Zeropoint     VEGAHST|UVOT|UVOT_v       5363.968620855775    All      1.8983752438119763         0.37290355862671376        0.3223153342126972        -0.4825128613674668        
Zeropoint     VEGAHST|UVOT|UVOT_u       3444.34780771803     All      -0.5798981028462918        0.1584677990210892         0.021426931228518686      0.24146625128524044        
Check         All|All|All               All                  All      1.0153827094354397         0.9954346678029857         -0.006589636914489105     -0.0067917986611527315     
Lambda        VEGAHST|UVOT|UVOT_b       4317.398729613148    All      -0.00043429302810082395    -6.423986132204897e-05     -0.0016974737183445582    4.4788034972498535e-05     
Lambda        VEGAHST|UVOT|UVOT_v       5363.968620855775    All      0.0009943336232667627      2.2006558841258492e-05     -0.0017329899370319114    -0.00039405429504849385    
Lambda        VEGAHST|UVOT|UVOT_u       3444.34780771803     All      -7.699381127607006e-05     -0.00011973508959404933    -0.0010002177590294297    -5.8557365245931985e-05    
MWEBV         All|All|All               All                  All      -1.556654625521606         -3.859532517277575         0.1677340241779568        -0.7426378926526349        
Redshift      All|All|All               All                  All      -0.2444454116951531        0.5244825344613346         3.331635548494627         0.3991407219219061         
