#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     VEGAHST|UVOT|UVOT_b       4317.398729613148    All      -0.4333114140027476        0.4551696599701671        -0.39396738488912864      0.27182656099123914       
Zeropoint     VEGAHST|UVOT|UVOT_v       5363.968620855775    All      2.088797220448486          0.36995337507512716       0.37540385188091324       -0.5431314389790469       
Zeropoint     VEGAHST|UVOT|UVOT_u       3444.34780771803     All      -0.666621817997003         0.17539405625015547       0.021868316327901226      0.2752481542619156        
Check         All|All|All               All                  All      0.9888639884487357         1.0005170912954497        0.003304783319685832      0.003943276274107843      
Lambda        VEGAHST|UVOT|UVOT_b       4317.398729613148    All      -0.0003834729771756271     -7.773200348706828e-05    -0.0017896708345174418    1.9725104025950897e-05    
Lambda        VEGAHST|UVOT|UVOT_v       5363.968620855775    All      0.000911717316575276       4.724814065377615e-06     -0.0017664470710379858    -0.0003742657170169715    
Lambda        VEGAHST|UVOT|UVOT_u       3444.34780771803     All      -0.00023818786883818253    -2.105223555931975e-05    -0.0005813109525182982    4.478698136281952e-05     
MWEBV         All|All|All               All                  All      -1.5081925847701911        -3.8813043744671205       0.12470912245158504       -0.7674353875964373       
Redshift      All|All|All               All                  All      -0.23428256293465644       0.1231852549032908        0.049940904441874406      0.11866766180667232       
