#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7472.382716540115     All      0.06727120614514473        0.0001479672967263923     0.035554628346628384      -0.020277607415286728     
Zeropoint     AB|SDSS|SDSS_u            3016.3285846180634    All      -0.053992003838159594      0.018916780147648637      0.017728204359140493      0.024539917909775402      
Zeropoint     AB|SDSS|SDSS_i            6285.03501143022      All      1.0426861352889412         0.010814416420146244      -0.1938214184255117       -0.3447639261215277       
Zeropoint     AB|SDSS|SDSS_r            5182.78692992268      All      0.889501549928379          0.4309611380422851        0.5277440040056887        -0.12581090662453245      
Zeropoint     AB|SDSS|SDSS_g            3966.314179938421     All      -0.9528020053272682        0.5388624064854852        -0.3868523503793227       0.4686207295800607        
Check         All|All|All               All                   All      0.9926648821970372         0.9997027083922916        0.00035306790662315013    0.002308207328489187      
Lambda        AB|SDSS|SDSS_z            7472.382716540115     All      -1.0479472902292327e-05    -5.614308952437343e-07    -1.176420112393676e-05    2.705650310446012e-06     
Lambda        AB|SDSS|SDSS_u            3016.3285846180634    All      -6.459268937668996e-05     2.3202197971055892e-05    2.65287654036811e-05      2.9781540132915365e-05    
Lambda        AB|SDSS|SDSS_i            6285.03501143022      All      -0.0003012509566211766     -3.502890127783818e-05    -0.0005038488427296152    6.423282211380493e-05     
Lambda        AB|SDSS|SDSS_r            5182.78692992268      All      9.94980300077091e-05       1.5089424502552407e-05    -0.0015448802002249792    -9.64355677315892e-05     
Lambda        AB|SDSS|SDSS_g            3966.314179938421     All      -0.0009256314269588717     0.0003921246614318448     -0.0011264012256971255    0.0003789703975472998     
MWEBV         All|All|All               All                   All      -0.6777346239668329        -3.2256580217600472       0.10633132997409492       -0.8251973959566006       
Redshift      All|All|All               All                   All      5.437387759914381          0.020784029962683803      -0.22444729888107814      -1.77438208791479         
