#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7472.382716540115     All      0.03507435791248466        0.0007848569048007903      0.015239164689040408       -0.010489164640158088     
Zeropoint     AB|SDSS|SDSS_u            3016.3285846180634    All      -0.10222404904178518       0.02325430394396477        -0.0474578486697963        0.038754601862536764      
Zeropoint     AB|SDSS|SDSS_i            6285.03501143022      All      0.9818140077112623         0.06538143793832774        0.10149735831146423        -0.2939828767701186       
Zeropoint     AB|SDSS|SDSS_r            5182.78692992268      All      0.9857076749225193         0.44594297383930837        0.584558633015142          -0.14973295386323665      
Zeropoint     AB|SDSS|SDSS_g            3966.314179938421     All      -0.9077587365898097        0.4621774966397041         -0.6481303568593111        0.4173102196546541        
Check         All|All|All               All                   All      0.9926132549146716         0.9975410692661058         0.005706950486539242       0.0018598262436775315     
Lambda        AB|SDSS|SDSS_z            7472.382716540115     All      -8.56320266970031e-06      -1.1291381817130199e-06    -1.1701650667388137e-05    1.899328451646617e-06     
Lambda        AB|SDSS|SDSS_u            3016.3285846180634    All      -6.142997487440319e-05     2.2341126586381448e-05     5.2087330182768664e-05     2.9611422050756985e-05    
Lambda        AB|SDSS|SDSS_i            6285.03501143022      All      -0.00028010388142508654    -3.960081944478278e-05     -0.0005700147735361775     5.290261824294705e-05     
Lambda        AB|SDSS|SDSS_r            5182.78692992268      All      2.955492731364549e-05      -1.0431040004324422e-05    -0.0016849490163344722     -8.821628096279891e-05    
Lambda        AB|SDSS|SDSS_g            3966.314179938421     All      -0.0007747499603524182     0.0002946335274052248      -0.0012139726830838618     0.0002941593583632423     
MWEBV         All|All|All               All                   All      -0.7242674524039474        -3.1910139749061983        0.2974957547772883         -0.7902246267419422       
Redshift      All|All|All               All                   All      5.285953616130226          0.5756642940209389         1.2371928756393924         -1.4790859603083684       
