#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4034.699488138107     All      -0.9472735375042884        0.5826729215115733        -0.3545753437627338        0.48253082635842587        
Zeropoint     AB|SDSS|SDSS_i            6393.3986046312875    All      0.9606175136629369         -0.0023552228611833925    -0.04980475619029176       -0.3158944586717232        
Zeropoint     AB|SDSS|SDSS_z            7601.217995813059     All      0.09085190833779327        -0.0014133130939342209    0.045336889038090626       -0.02803064092296713       
Zeropoint     AB|SDSS|SDSS_u            3068.334691681884     All      -0.05633635921329203       0.026674182976726968      0.05469566503406898        0.0294800808793767         
Zeropoint     AB|SDSS|SDSS_r            5272.146084406395     All      0.9456055707615063         0.3943904009558352        0.3079511699496592         -0.1658064688998592        
Check         All|All|All               All                   All      0.9934650960446559         0.9999689694890179        0.003603624068793221       0.0022793387432530066      
Lambda        AB|SDSS|SDSS_g            4034.699488138107     All      -0.0008807962004165821     0.00040595041849682663    -0.0010415339904855467     0.0003726568280836771      
Lambda        AB|SDSS|SDSS_i            6393.3986046312875    All      -0.0002911288974264029     -1.886160722815361e-05    -0.00031082734598740605    7.481561687230445e-05      
Lambda        AB|SDSS|SDSS_z            7601.217995813059     All      -5.488933401323407e-06     -2.774667452619733e-07    -4.300038260879145e-06     1.5056551838179124e-06     
Lambda        AB|SDSS|SDSS_u            3068.334691681884     All      -5.3625825481455824e-05    2.653771183433195e-05     6.074315012074852e-05      2.882258921248545e-05      
Lambda        AB|SDSS|SDSS_r            5272.146084406395     All      0.0003103621964161285      6.952176325211545e-05     -0.0008119012919448999     -0.00011468107822816427    
MWEBV         All|All|All               All                   All      -0.6894037028360396        -3.298844408617718        0.15499475672670224        -0.8430639817948276        
Redshift      All|All|All               All                   All      6.083211135308037          -0.6096716135022717       -1.7804076640103264        -2.2595435175178253        
