#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4034.699488138107     All      -0.8718609983806827        0.5274035864060167         -0.44763430729886644       0.4358106464777703         
Zeropoint     AB|SDSS|SDSS_i            6393.3986046312875    All      0.9076119058860407         0.018074338223605935       -0.0416025536352449        -0.29160818159949947       
Zeropoint     AB|SDSS|SDSS_z            7601.217995813059     All      0.06782820337944544        0.00019344326371850684     0.03632473292249361        -0.020409860490340492      
Zeropoint     AB|SDSS|SDSS_u            3068.334691681884     All      -0.08748593850985167       0.042096398531477064       0.09443011810617297        0.04642321277585487        
Zeropoint     AB|SDSS|SDSS_r            5272.146084406395     All      0.9758075677980811         0.4124484522275651         0.3653011538178569         -0.16720288517832887       
Check         All|All|All               All                   All      0.9919007401730329         1.0002162186523833         0.006819143912412118       0.003012931985456324       
Lambda        AB|SDSS|SDSS_g            4034.699488138107     All      -0.0007052824586282646     0.00026798727543670146     -0.0011531545562641957     0.00026556598040937174     
Lambda        AB|SDSS|SDSS_i            6393.3986046312875    All      -0.0003363664720048569     -2.5787949413259187e-05    -0.00035480797806260796    8.53321920511467e-05       
Lambda        AB|SDSS|SDSS_z            7601.217995813059     All      -4.647068344758897e-06     -5.2400007706627e-07       1.5762359781946348e-07     1.3500529969361215e-06     
Lambda        AB|SDSS|SDSS_u            3068.334691681884     All      -5.6768737680459566e-05    2.919949093130841e-05      8.059049016932393e-05      3.159906376708969e-05      
Lambda        AB|SDSS|SDSS_r            5272.146084406395     All      0.00025185311636069085     2.9579860141389123e-05     -0.0008839616738980883     -0.00011184886174050158    
MWEBV         All|All|All               All                   All      -0.7671422011247788        -3.26385971566463          0.21039400748356085        -0.8038741158028023        
Redshift      All|All|All               All                   All      5.911118748352319          0.10423319103356476        -0.9904173072295297        -1.9356914424785667        
