#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4686.1258239009       All      -0.3211447141673201        0.44233203867038995        0.044476807240708814       0.2506742916709079        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3505.6691311503987    All      -0.2539992364371163        0.0956731684374823         -0.055054290604384604      0.11144298601361496       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6065.970439573809     All      1.1319798078046341         -0.04071544355745971       -0.10279050097485626       -0.3865724918552604       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4289.727851509582     All      -0.4847111690180123        0.3123074553151639         -0.07482479872995328       0.2562760999697631        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5240.2477479024255    All      0.5379171975779531         0.22453380595051087        0.08354186851736611        -0.0983511907623984       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7416.577697912445     All      0.3841450900546149         -0.0359286121766722        0.1045970358144229         -0.13216413951944989      
Check         All|All|All                              All                   All      0.9941869758147536         0.9982024126394151         -5.3878736696294505e-05    0.0013055555171772593     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4686.1258239009       All      -0.00012317163466837302    -3.3348630763337564e-05    -0.0006284205438495638     1.2147848200798727e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3505.6691311503987    All      -0.0004610421542113062     0.0001607349325167696      -0.00010697788892679628    0.00019775932115475726    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6065.970439573809     All      -0.0001296598713540843     -4.3247055555268225e-05    -0.0004983917209424852     5.906563527588145e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4289.727851509582     All      -0.00029761096307905153    9.793861442243564e-05      -0.00046291336017780025    0.0001081858134062308     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5240.2477479024255    All      0.00017380960104118346     3.810831074081567e-05      -0.0006168620844683459     -7.173009637541732e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7416.577697912445     All      -6.009444026032638e-05     -1.1889520520458718e-05    -0.0001655234956530948     8.31537486494908e-06      
MWEBV         All|All|All                              All                   All      -1.0169889344869576        -3.915024363819075         -0.021837818691832735      -0.9449600034178823       
Redshift      All|All|All                              All                   All      5.450418556357105          0.4755686173559148         5.808705409645965          -1.361256448820747        
