#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4686.1258239009       All      -0.2710560485103521        0.4441400314045829         0.15502239044972166        0.2398808297741195         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3505.6691311503987    All      -0.2311722294351645        0.08215265163427077        -0.06370653720298991       0.09921729168489435        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6065.970439573809     All      1.0739288869943395         -0.011871105827321315      -0.0007387057296526223     -0.35371374446469817       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4289.727851509582     All      -0.4957336516823073        0.29941099833132867        -0.20245541516801246       0.24997011665655322        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5240.2477479024255    All      0.5525420875615101         0.2143188310852473         0.024850001664611376       -0.10906150040658341       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7416.577697912445     All      0.3623736344517619         -0.028808787534906344      0.08974941918954427        -0.12341587998622172       
Check         All|All|All                              All                   All      0.9908826793797877         0.999342619093202          0.002721153203222304       0.0028771132580637793      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4686.1258239009       All      -0.0001225637897417059     -7.054101909772446e-05     -0.0006735957591777385     -1.3113957121618479e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3505.6691311503987    All      -0.00030089710226435996    9.99609272442223e-05       -7.159212958893366e-05     0.00012737782011560208     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6065.970439573809     All      -0.00010834871778337275    -2.0983625134022546e-05    -0.00023730903194367993    1.7867672727383077e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4289.727851509582     All      -0.0003175017899869112     6.807529011132509e-05      -0.0006796382872797541     9.526600480159935e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5240.2477479024255    All      0.0001232233535430845      1.8016248761921488e-05     -0.0008753571420066273     -7.333258411598404e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7416.577697912445     All      -4.3751365179722245e-05    -6.495523946816431e-06     -0.0001051454113087545     7.443296379024902e-06      
MWEBV         All|All|All                              All                   All      -1.0460054000367438        -3.9039509766685576        -0.017100489603039115      -0.931690014236948         
Redshift      All|All|All                              All                   All      5.142469324749781          0.8350929128813966         6.373683417390563          -1.1186259881712957        
