#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6642.740966210101     All      1.1673951311871604        0.08799336380498346        0.5966110083314979        -0.32497265773314715       
Zeropoint     AB|PS|PS_r                4772.1409649155585    All      0.05710290068481505       0.3923419665616379         -0.20508926374422418      0.10004620089376683        
Zeropoint     AB|PS|PS_i                5780.0962430602185    All      0.4115473945337714        0.06829408112150048        -0.4827750717958899       -0.13335293102550747       
Zeropoint     AB|PS|PS_g                3757.7921780178553    All      -0.641570685849267        0.4496156396124107         0.09048180799083806       0.35947307268938844        
Check         All|All|All               All                   All      0.9944747405564799        0.9982450511005325         -0.0007715192177781133    0.0011936848245006626      
Lambda        AB|PS|PS_z                6642.740966210101     All      -0.0008154398953018269    -9.992260168005835e-05     -0.0002310902097925926    0.0002227550276482682      
Lambda        AB|PS|PS_r                4772.1409649155585    All      -7.071091491854488e-05    -2.6906548574552015e-05    -0.0008810747326399932    -2.5049795448757732e-05    
Lambda        AB|PS|PS_i                5780.0962430602185    All      -9.306941579642183e-05    -2.215280395783249e-05     0.0003013650015686224     3.654840946367772e-05      
Lambda        AB|PS|PS_g                3757.7921780178553    All      -0.0008769556102716448    0.0005311387910496214      -0.0008453791331554905    0.00042093728341334333     
MWEBV         All|All|All               All                   All      -0.47694822113612867      -2.8634643634417145        0.08635597219618699       -0.7735131511774294        
Redshift      All|All|All               All                   All      4.334383729232816         0.4010314544759197         -0.7189670149036309       -1.3133064351135812        
