#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6642.740966210101     All      1.1364922481223994         0.11233154211378604        -0.14208545392910832      -0.33994345706739454       
Zeropoint     AB|PS|PS_r                4772.1409649155585    All      0.10338992286976628        0.2894701477654138         -0.22835349313843345      0.050422083496964865       
Zeropoint     AB|PS|PS_i                5780.0962430602185    All      0.37734900197211213        0.07125035521013956        -0.4584551977664608       -0.12016514946448786       
Zeropoint     AB|PS|PS_g                3757.7921780178553    All      -0.620812355968119         0.5250901814482845         0.8294523508867613        0.4102728043934495         
Check         All|All|All               All                   All      0.9964188169961588         0.9981422265376239         0.0005582060527586918     0.0005862813585319482      
Lambda        AB|PS|PS_z                6642.740966210101     All      -0.0009052271249230654     -9.491562106717624e-05     0.0002092516745542292     0.00027328305643968033     
Lambda        AB|PS|PS_r                4772.1409649155585    All      -6.065580017318854e-05     -7.803418342494151e-05     -0.0009797249009116408    -4.9381333770895044e-05    
Lambda        AB|PS|PS_i                5780.0962430602185    All      -0.00012194953617637833    -2.1293860200247283e-05    0.000409935493972788      5.108040346918665e-05      
Lambda        AB|PS|PS_g                3757.7921780178553    All      -0.0008185581922879016     0.0004573694156752264      -0.0012752195559949061    0.00035870440677258176     
MWEBV         All|All|All               All                   All      -0.4980574055166809        -2.8535941287815447        0.050090032867355916      -0.7650405175120639        
Redshift      All|All|All               All                   All      4.3565797561572746         0.5947108702356374         1.8494142915073564        -1.1428335921775667        
