#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z                           8473.557454168898     All      0.16590640183827843        -0.006621652563154612     0.17977792950081284        -0.04817540001948589       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5922.240775343875     All      0.3818821782915975         0.029692355469546072      -0.2883617341450373        -0.1275880717915054        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4575.090780470022     All      -0.07673172818082485       0.17268673916213118       0.15974685267772237        0.08837256878169511        
Zeropoint     AB|SDSS|SDSS_u                           3420.46634011909      All      -0.1864998023468869        0.04641706787014144       -0.3289090499830838        0.06119098709099213        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5116.083105692167     All      0.28948025943997147        0.19536173570822157       0.32905211992420025        -0.015973414756395576      
Zeropoint     AB|SDSS|SDSS_i                           7127.124946763444     All      0.4237589359299964         0.013555026753753197      1.0670555793567127         -0.08599911882878619       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4188.085228968449     All      -0.27880701567678146       0.20675047676759206       -0.13746115140744752       0.1520277898050662         
Zeropoint     AB|SDSS|SDSS_r                           5877.193994119975     All      0.4925926935237229         0.020118458613715973      -1.7312051637947468        -0.2311561375732532        
Zeropoint     AB|SDSS|SDSS_g                           4497.734171270426     All      -0.10064835887314333       0.25770778588665166       0.5658671307805507         0.14198043702825097        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3422.6043269050133    All      -0.11664320968222887       0.06030818189195486       0.1706157871976588         0.06525268873624201        
Check         All|All|All                              All                   All      0.9942903542637013         0.9959761755605534        -0.01382169989265769       -6.767152717981895e-05     
Lambda        AB|SDSS|SDSS_z                           8473.557454168898     All      -2.2459233825892706e-05    1.6367028733870956e-06    2.972330042950101e-05      9.175253699713824e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5922.240775343875     All      1.6130872106419812e-05     6.340554981221689e-06     0.0003350304257340169      1.1761840781876936e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4575.090780470022     All      -4.880238015057992e-05     -8.30262762084676e-07     -0.00019613156296593843    6.873646013733445e-06      
Lambda        AB|SDSS|SDSS_u                           3420.46634011909      All      -8.871536990545277e-05     1.7357567372609723e-05    -0.00013245315895179312    2.8640669218783986e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5116.083105692167     All      8.469795076909229e-05      2.9659519235016293e-05    9.529693513837574e-05      -1.3675163329028832e-05    
Lambda        AB|SDSS|SDSS_i                           7127.124946763444     All      -0.0003043024107605043     -7.368675231246638e-06    -0.0008401174687971859     5.923050237916715e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4188.085228968449     All      -0.0001890514286434439     7.343966197319566e-05     -0.0005453723984004508     6.116451857842925e-05      
Lambda        AB|SDSS|SDSS_r                           5877.193994119975     All      -0.0001174677327139754     1.7891537326932398e-05    0.0002932404835027835      5.7176943413937834e-05     
Lambda        AB|SDSS|SDSS_g                           4497.734171270426     All      -9.691083430256802e-05     -4.199421887599107e-05    -0.0007429929795837115     -1.526821588807542e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3422.6043269050133    All      -0.00023828120644842033    8.642835958537212e-05     -0.00016750558519505946    9.829358334269358e-05      
MWEBV         All|All|All                              All                   All      -1.035882867023096         -3.756466794254809        0.11552108813137618        -0.8810285140578876        
Redshift      All|All|All                              All                   All      6.072227360258567          0.37794191481888006       6.177968468782713          -1.57912174762751          
