#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5453.28924073354      All      0.55540216517139           0.18863241896180938        -1.8156765410233922       -0.2004942776318519        
Zeropoint     AB|SDSS|SDSS_z            7862.384624667445     All      0.12858026116741916        -0.016307635128853804      0.0642304307027719        -0.04432844537133329       
Zeropoint     AB|SDSS|SDSS_i            6613.066342277231     All      1.2908056734492983         -0.07050691024588218       0.7391640178207259        -0.4104387991054531        
Zeropoint     AB|SDSS|SDSS_g            4173.325806227914     All      -0.9390170108418044        0.853789996900467          0.8307188291506562        0.6210473900116975         
Zeropoint     AB|SDSS|SDSS_u            3173.7581419848384    All      -0.040166118435008585      0.04474342754630101        0.18872100245011514       0.03607958414233725        
Check         All|All|All               All                   All      0.9956049705112944         1.0003512980338414         0.007157739100877025      0.001865452045396454       
Lambda        AB|SDSS|SDSS_r            5453.28924073354      All      0.00027504997270711676     1.5797217468670785e-05     -0.0018050764337931994    -0.00016499942236746393    
Lambda        AB|SDSS|SDSS_z            7862.384624667445     All      1.0419744623722853e-05     2.9414098601800264e-06     4.20635861963778e-05      -5.588350015110968e-07     
Lambda        AB|SDSS|SDSS_i            6613.066342277231     All      -0.00034054150106020855    -1.2317358060803533e-05    -0.0005759944249038879    8.120941589171739e-05      
Lambda        AB|SDSS|SDSS_g            4173.325806227914     All      -0.000995448528122801      0.0006841435083292017      -0.0005000695118042878    0.0005247825776334904      
Lambda        AB|SDSS|SDSS_u            3173.7581419848384    All      -2.551289669365669e-05     2.6931411238591306e-06     -4.89252040392813e-05     7.004327317307585e-06      
MWEBV         All|All|All               All                   All      -0.6146990084249424        -3.5366453174306756        -0.042555942136363045     -0.9536731182665847        
Redshift      All|All|All               All                   All      2.9422623374403214         -1.1295824787742603        4.071949688612763         -1.1446214035422257        
