#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                6184.788078824946     All      1.1164695743745134         0.008250056349723422       0.006752252005282067       -0.3606822343648425       
Zeropoint     AB|PS|PS_g                4020.8929554089304    All      -0.8210242002273112        0.5351869171601464         -0.273031592714279         0.4295784329594793        
Zeropoint     AB|PS|PS_r                5106.261091364742     All      0.12207484161364696        0.5044646410260256         0.10345071916296189        0.1291734683836171        
Zeropoint     AB|PS|PS_z                7107.830633073822     All      0.5780323551234653         -0.04896814121462256       0.16324434863052018        -0.19694984383573505      
Check         All|All|All               All                   All      0.9955525708843145         0.9989334733212729         0.00041572708448511797     0.0011198231425188498     
Lambda        AB|PS|PS_i                6184.788078824946     All      -0.0002756081254811115     -7.307220998702193e-05     -0.0006868923801223954     3.531975876785713e-05     
Lambda        AB|PS|PS_g                4020.8929554089304    All      -0.000535549117524428      0.0002133324610186795      -0.0007949425665721425     0.00020846073189665276    
Lambda        AB|PS|PS_r                5106.261091364742     All      -3.25418893478978e-05      -5.238740678118713e-05     -0.0005539472239928291     -3.118445834537685e-05    
Lambda        AB|PS|PS_z                7107.830633073822     All      -0.00022430904914691105    -2.9537648556511205e-05    -0.00045541955828008393    4.312016974137731e-05     
MWEBV         All|All|All               All                   All      -0.5141773820399571        -3.17728376341897          0.058162227053787374       -0.864865848948744        
Redshift      All|All|All               All                   All      6.4567454106395195         0.3727112756326534         -2.036873594412197         -2.072666390046038        
