#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                6184.788078824946     All      1.0668428966664185         0.008414050789795624       -0.13445458349883252       -0.35076518691073716       
Zeropoint     AB|PS|PS_g                4020.8929554089304    All      -0.7339531386101493        0.5476766194298932         -0.09031530376705672       0.4134386193563374         
Zeropoint     AB|PS|PS_r                5106.261091364742     All      0.05169638775067126        0.5014029873187553         0.050695936466191034       0.1487465611934698         
Zeropoint     AB|PS|PS_z                7107.830633073822     All      0.611112731530688          -0.05875140687265912       0.1742045891468885         -0.21042283703264608       
Check         All|All|All               All                   All      0.9956988773376285         0.998742250665785          0.00013063834719026501     0.0009971566064239656      
Lambda        AB|PS|PS_i                6184.788078824946     All      -0.0001659927582422178     -7.571116067713256e-05     -0.000666031101918615      -3.1422260513518624e-07    
Lambda        AB|PS|PS_g                4020.8929554089304    All      -0.000591070571999273      0.00032223287077119217     -0.0006482735601623892     0.0002685635065238495      
Lambda        AB|PS|PS_r                5106.261091364742     All      -6.269487668694687e-05     2.7031512271687376e-05     -0.00047826748974521974    7.883955330143042e-06      
Lambda        AB|PS|PS_z                7107.830633073822     All      -0.00022505179512559735    -2.9374115921169826e-05    -0.0004738395839324011     4.2593373356901815e-05     
MWEBV         All|All|All               All                   All      -0.5101861854636462        -3.1825935096605917        0.04663540225980986        -0.8684098612662383        
Redshift      All|All|All               All                   All      6.503383249370847          -0.10500389181551384       -1.6612880330759539        -2.226704756259859         
