#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5604.448491825807     All      1.1131644666597102         0.11754671413513051       -2.114139940337925        -0.4186498124921419       
Zeropoint     AB|PS|PS_r                4627.123339981125     All      -0.19622161836723984       0.5888503524900557        1.6559354067443794        0.32962056077565977       
Zeropoint     AB|PS|PS_z                6440.878840791621     All      0.7388286864027732         0.012945617977067059      0.955483354479905         -0.19380516249575216      
Zeropoint     AB|PS|PS_g                3643.5989677460407    All      -0.6592987228039617        0.2803320939213094        -0.4836471697488511       0.28448571806829925       
Check         All|All|All               All                   All      0.996472811891282          0.9996747785235627        0.01363165113750825       0.001651303856064934      
Lambda        AB|PS|PS_i                5604.448491825807     All      5.753750576542745e-05      6.85868776108763e-05      0.0015077103645425513     7.088133282989524e-05     
Lambda        AB|PS|PS_r                4627.123339981125     All      -1.5825705276947485e-05    -0.0001640390195906632    -0.0008894825196634108    -8.797147215231367e-05    
Lambda        AB|PS|PS_z                6440.878840791621     All      1.740124952827707e-05      -4.506459971279779e-07    -7.60299216287323e-06     -6.154236303491428e-06    
Lambda        AB|PS|PS_g                3643.5989677460407    All      -0.00122521704240448       0.00044886699112675453    -0.0015074144093967263    0.00047803526366250256    
MWEBV         All|All|All               All                   All      -0.4563666482902309        -2.7488217754418898       -0.044636205235114454     -0.7487199632797621       
Redshift      All|All|All               All                   All      5.525948402911085          0.17797143907838375       0.37835834366217896       -1.7251276451957596       
