#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                5604.448491825807     All      1.053272291693295          0.0831792016455779         -2.315056093428569        -0.41930155532489616       
Zeropoint     AB|PS|PS_r                4627.123339981125     All      -0.1768219074190398        0.610256919911123          1.655114348776543         0.3302376199063678         
Zeropoint     AB|PS|PS_z                6440.878840791621     All      0.7969645351069492         0.019080241394320296       1.0460468413591384        -0.20670223988482964       
Zeropoint     AB|PS|PS_g                3643.5989677460407    All      -0.6772078372363164        0.2870950573740316         -0.37127589133212346      0.297536839575846          
Check         All|All|All               All                   All      0.9962070821448883         0.9996114203250528         0.014829205374988774      0.001770664272487954       
Lambda        AB|PS|PS_i                5604.448491825807     All      0.00010726025953794398     7.961799943120733e-05      0.0016988902297216727     6.680967471176956e-05      
Lambda        AB|PS|PS_r                4627.123339981125     All      3.2843048917550034e-05     -0.00018485154910116402    -0.0007170643617499175    -0.00010290958162164587    
Lambda        AB|PS|PS_z                6440.878840791621     All      -0.00018439426171625728    -1.870964737363377e-05     -0.0005656303078207172    2.872744696129813e-05      
Lambda        AB|PS|PS_g                3643.5989677460407    All      -0.001206247654977807      0.0003840522033377084      -0.0017133052591666773    0.00044155603837448877     
MWEBV         All|All|All               All                   All      -0.45365323644928335       -2.7482712639969265        -0.009791713546714043     -0.7478695414669522        
Redshift      All|All|All               All                   All      6.013571966585385          0.46320022719470444        2.265709224284973         -1.7068304806721952        
