#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                3423.835998943417    All      -0.5118505228967333        0.16475859532327775       -0.5706265403890076        0.19492940787840946       
Zeropoint     AB|PS|PS_i                5266.417262272865    All      1.4086550891011997         0.4511059255555949        2.993666035375342          -0.17831169925054818      
Zeropoint     AB|PS|PS_z                6052.398476108131    All      0.5870880927316644         -0.06351819312051532      -2.6063840763246526        -0.328234822250377        
Zeropoint     AB|PS|PS_r                4348.039288412407    All      -0.49402689063171606       0.44808433767364875       0.1840658660825667         0.31509063581715846       
Check         All|All|All               All                  All      0.9898657683044149         1.000430665432006         0.0007212847442483739      0.003473522194642753      
Lambda        AB|PS|PS_g                3423.835998943417    All      -0.0007764824306253535     0.00021797251838536106    -0.0011916063473021354     0.00027075077505873686    
Lambda        AB|PS|PS_i                5266.417262272865    All      0.0004983013935252353      8.141762089572627e-05     -3.0441947434754123e-05    -0.000137151244113378     
Lambda        AB|PS|PS_z                6052.398476108131    All      -0.00038223049634447545    -7.555744062338238e-07    -0.0007726506483336984     8.977908244837947e-05     
Lambda        AB|PS|PS_r                4348.039288412407    All      -0.00026727488989940657    -6.457842971480876e-05    -0.0014916282139738391     -5.396107914717163e-07    
MWEBV         All|All|All               All                  All      -0.47717420586698367       -2.4716711325968532       -0.13489359518743527       -0.6556929476451298       
Redshift      All|All|All               All                  All      1.5998653608288234         0.01010495763367203       1.0539327712550284         -0.47080508584143727      
