#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3423.835998943417    All      -0.5444055571328958        0.16582385859642557        -0.731740654039457        0.19869086193026575       
Zeropoint     AB|PS|PS_i                5266.417262272865    All      1.522466661212551          0.49185929741302203        3.725611398650533         -0.1694457987571355       
Zeropoint     AB|PS|PS_z                6052.398476108131    All      0.5785328086529817         -0.07901477321663464       -2.9292478701297355       -0.34490375898286324      
Zeropoint     AB|PS|PS_r                4348.039288412407    All      -0.5636037834551996        0.4210660173665559         -0.05519862368434966      0.31827608774495103       
Check         All|All|All               All                  All      0.9929901292774371         0.9997344001593689         0.009424250796990524      0.0026173919352180386     
Lambda        AB|PS|PS_g                3423.835998943417    All      -0.0008747540114800864     0.0002478454919864131      -0.0013338347875786864    0.00030614467021766105    
Lambda        AB|PS|PS_i                5266.417262272865    All      0.0004796158191793555      0.00014657762681616744     0.0004275153809200807     -8.94034479404355e-05     
Lambda        AB|PS|PS_z                6052.398476108131    All      -0.0002929239883927969     2.84835579474006e-05       -5.276923587502947e-05    0.00010233816320042948    
Lambda        AB|PS|PS_r                4348.039288412407    All      -0.00023224897284176792    -5.6229484723890786e-05    -0.001475471042748048     -8.508157895311228e-06    
MWEBV         All|All|All               All                  All      -0.43577888773706475       -2.4853903221657703        -0.10077978551216049      -0.6721232133693393       
Redshift      All|All|All               All                  All      1.3571518244839744         -0.3807529010153132        -2.052808522012861        -0.6577001605912215       
