#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     VEGAHST|UVOT|UVOT_b       4309.506646452842    All      -0.13312147923520018       0.4915649939925437        0.05794149242183224       0.2060665985959397        
Zeropoint     VEGAHST|UVOT|UVOT_u       3438.051637029629    All      -0.7745970665792702        0.15776199759365284       -0.15751997595000214      0.2966706278396654        
Zeropoint     VEGAHST|UVOT|UVOT_v       5354.163437439496    All      1.8969690697725512         0.35030859726372654       0.10098708533619535       -0.49929160971262737      
Check         All|All|All               All                  All      0.9892505239580809         0.9996355888499231        0.0014086018080254614     0.0034456167229777734     
Lambda        VEGAHST|UVOT|UVOT_b       4309.506646452842    All      -0.00025708373711029735    -5.054096436256274e-05    -0.0013328516891507238    7.798726818920325e-06     
Lambda        VEGAHST|UVOT|UVOT_u       3438.051637029629    All      -0.00023125090626010625    -2.902038805264535e-05    -0.0007727724470979481    3.138784786809185e-05     
Lambda        VEGAHST|UVOT|UVOT_v       5354.163437439496    All      0.0007137599946891208      2.332249814364997e-05     -0.002203011792864594     -0.0003232085055921564    
MWEBV         All|All|All               All                  All      -1.6112029831513714        -3.8842424437716794       -0.0020138605102380577    -0.7404936024463227       
Redshift      All|All|All               All                  All      -0.19049038555102546       -0.0017268979269680074    0.7157017576712864        0.09342496039903053       
