#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_b       4309.506646452842    All      -0.24512854777736603      0.5261611400959154         0.1600795030340274        0.25837803901919976        
Zeropoint     VEGAHST|UVOT|UVOT_u       3438.051637029629    All      -0.6737477213393985       0.12963827335985556        -0.2820649726181568       0.24910198483731813        
Zeropoint     VEGAHST|UVOT|UVOT_v       5354.163437439496    All      1.905925795264677         0.34368043072294796        0.11988222009824412       -0.5035249186932474        
Check         All|All|All               All                  All      0.9870495261479123        0.9994798441787189         -0.00210324948588525      0.003955105163270467       
Lambda        VEGAHST|UVOT|UVOT_b       4309.506646452842    All      -0.0003826296311410744    -0.0001115127129194878     -0.0017335509903113242    1.0951280960565188e-05     
Lambda        VEGAHST|UVOT|UVOT_u       3438.051637029629    All      0.0002628289827143425     -1.2880409979636478e-05    0.0002025481134518262     -8.076882773650776e-05     
Lambda        VEGAHST|UVOT|UVOT_v       5354.163437439496    All      0.0005021217711142949     -4.676068593244687e-05     -0.003301217379703693     -0.00032610724366975496    
MWEBV         All|All|All               All                  All      -1.6254562305886724       -3.893036494601354         -0.14163217069027567      -0.7449458864486155        
Redshift      All|All|All               All                  All      -1.5354538183804642       -0.0793278422212218        -3.4868357440522413       0.318706670757031          
