#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                7578.958426649271    All      0.792353363562713          -0.010166745493478402      1.490515409029225         -0.19489234463165722       
Zeropoint     AB|PS|PS_r                5444.719004275714    All      0.15869929574523942        0.26162773135371964        -1.248134207811491        -0.022171319498923148      
Zeropoint     AB|PS|PS_g                4287.40949527556     All      -0.7119700290613818        0.8451885014217453         0.6396401105507987        0.535761962745468          
Zeropoint     AB|PS|PS_i                6594.73391345838     All      0.7609713198214403         -0.09858618543887587       -0.8795577453732051       -0.3192367805786467        
Check         All|All|All               All                  All      1.000053950068011          0.9980633018431107         0.002463566395327632      -0.0005384819637591076     
Lambda        AB|PS|PS_z                7578.958426649271    All      0.00015917285570890717     -2.6713214427305187e-06    0.00029841761341353577    -3.940096550944081e-05     
Lambda        AB|PS|PS_r                5444.719004275714    All      -0.0001557101188783906     9.238531702780852e-05      -0.0020603385114147466    -1.113059939987661e-05     
Lambda        AB|PS|PS_g                4287.40949527556     All      -0.00039903922724215035    0.00039952350373225745     2.0777987803135944e-05    0.00026104537957766694     
Lambda        AB|PS|PS_i                6594.73391345838     All      0.0001254422058568513      1.0799818406959919e-05     0.0003168403629719461     -2.3203667010662795e-05    
MWEBV         All|All|All               All                  All      -0.4859619077379125        -3.497029532174345         0.26047036222136555       -0.9691801904925426        
Redshift      All|All|All               All                  All      2.0948588095087866         0.7365475589276471         2.9616273438673346        -0.31028283533267587       
