#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                7578.958426649271    All      0.6027053708020959         -0.002990821776371888      1.4254480632991373         -0.13368397651677066      
Zeropoint     AB|PS|PS_r                5444.719004275714    All      0.11986150777766907        0.511322160938299          -0.8422352661273808        0.08992652172676832       
Zeropoint     AB|PS|PS_g                4287.40949527556     All      -0.7413794363375412        0.7371007738962376         0.4069882754394927         0.4997516625306154        
Zeropoint     AB|PS|PS_i                6594.73391345838     All      1.0137317070269098         -0.24516784541628311       -0.9866018284461087        -0.4540925091010782       
Check         All|All|All               All                  All      0.9949191492691337         1.0002642676418816         0.0035992441651405693      0.0019016986395348767     
Lambda        AB|PS|PS_z                7578.958426649271    All      -1.3140468519808924e-05    -1.3798085425269377e-06    -4.363387132015191e-05     1.8836545949254636e-06    
Lambda        AB|PS|PS_r                5444.719004275714    All      -0.00015924780926487855    0.00010676998576875019     -0.0017886473520706426     6.831631205195676e-06     
Lambda        AB|PS|PS_g                4287.40949527556     All      -0.00040902982163954887    0.00023991264587469168     -0.0005677051384342256     0.00018604783828949566    
Lambda        AB|PS|PS_i                6594.73391345838     All      -0.000330499189507998      4.990706334164524e-05      -0.00012826390126541531    0.00011818700272843041    
MWEBV         All|All|All               All                  All      -0.5385828192370434        -3.4872042596630237        0.2357351664221997         -0.9499432321257782       
Redshift      All|All|All               All                  All      3.4246557300559277         0.36207778297097093        1.4713889379437504         -0.9319210627318122       
