#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                4132.434202490718    All      -0.6485189661851553        0.5961975907355921        0.30281349156601           0.4189583079040035         
Zeropoint     AB|PS|PS_r                5247.910903078794    All      -0.16360137619200638       0.5754227899787523        -0.9217649751733655        0.19959034676612625        
Zeropoint     AB|PS|PS_i                6356.356678859599    All      1.2393523645426407         -0.07769444255494307      0.3304182634104758         -0.41426042508480415       
Zeropoint     AB|PS|PS_z                7305.004818423045    All      0.5674959950344969         -0.09445102344134426      0.2876313372260523         -0.2027822557901863        
Check         All|All|All               All                  All      0.9947280171999761         0.999474914718057         -0.000901882970827439      0.0015059737951393093      
Lambda        AB|PS|PS_g                4132.434202490718    All      -0.0004630524725397282     0.00036797207509149893    -0.0001898716936678242     0.00026221893341978346     
Lambda        AB|PS|PS_r                5247.910903078794    All      -0.00019484844750672676    6.539165047627443e-05     -0.001976309410923951      -3.4248505907427066e-06    
Lambda        AB|PS|PS_i                6356.356678859599    All      -0.0004305962342128899     1.3604386666333272e-05    -0.0004056025853878036     0.00012659057546615443     
Lambda        AB|PS|PS_z                7305.004818423045    All      -0.00011409864191527868    -6.647695239692948e-06    -0.00034699929092501424    1.9515323719497974e-05     
MWEBV         All|All|All               All                  All      -0.5363628964185385        -3.3177685355413544       0.023743235391489106       -0.9049357706430561        
Redshift      All|All|All               All                  All      5.6135883150742805         -0.14294007375035278      0.5550939741475144         -1.8503193857871088        
