#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6815.735655861318    All      0.8115795367710393         -0.01341036433508691      0.3118922600042275         -0.25480803305718147      
Zeropoint     AB|SDSS|SDSS_r            5620.415098844071    All      0.8942057846077216         0.26702773899671683       -0.32304592569902785       -0.2187085789680038       
Zeropoint     AB|SDSS|SDSS_z            8103.341544278011    All      0.14718418079153106        0.013679451474324367      0.30394178137133204        -0.02992335676525544      
Zeropoint     AB|SDSS|SDSS_u            3271.023669173921    All      -0.12031148051340687       0.10581104740161607       0.345504779295527          0.08907383800602936       
Zeropoint     AB|SDSS|SDSS_g            4301.224882501162    All      -0.7392504618934462        0.628098987556136         -0.6234128194769083        0.4175706492447055        
Check         All|All|All               All                  All      0.993407559763439          1.0012068610937064        0.014880075495150358       0.0032045184602941257     
Lambda        AB|SDSS|SDSS_i            6815.735655861318    All      -0.0005452342810621884     2.7401536016481855e-05    -0.00013282293537510766    0.00018059904720921192    
Lambda        AB|SDSS|SDSS_r            5620.415098844071    All      -5.1627326888124695e-06    1.8383868289023072e-05    0.000518936685849158       3.082766349810104e-05     
Lambda        AB|SDSS|SDSS_z            8103.341544278011    All      -1.1831116489404486e-05    -8.353665991285696e-06    -8.687100972926545e-05     -2.743934148140253e-06    
Lambda        AB|SDSS|SDSS_u            3271.023669173921    All      -0.0001016425128921092     8.427130685754856e-05     0.00025256007129166515     7.182884349075437e-05     
Lambda        AB|SDSS|SDSS_g            4301.224882501162    All      -0.00033062353070327467    0.0002127470438155145     -0.0006582008669632631     0.000147621190796359      
MWEBV         All|All|All               All                  All      -0.8088032750388727        -3.5326455120138434       0.5087199087052137         -0.8645431952711259       
Redshift      All|All|All               All                  All      4.928510577500692          0.38043156968647907       -9.073459979103522         -1.886365806173093        
