#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6815.735655861318    All      0.7883682473187497         -4.7557012550214495e-06    0.31861266611381          -0.2425808038314048       
Zeropoint     AB|SDSS|SDSS_r            5620.415098844071    All      0.9391289334535471         0.2789648657998356         -0.07478420181784573      -0.2183744310432431       
Zeropoint     AB|SDSS|SDSS_z            8103.341544278011    All      0.1479109861406916         0.014130960336622422       0.2675455658137482        -0.03163722582657513      
Zeropoint     AB|SDSS|SDSS_u            3271.023669173921    All      -0.16613205977724266       0.14059053491344287        0.4642924154079464        0.12062887804611538       
Zeropoint     AB|SDSS|SDSS_g            4301.224882501162    All      -0.7373227969040032        0.5494277363016664         -1.1714727082043463       0.3668595349125975        
Check         All|All|All               All                  All      0.9719533102317423         0.9831093416503123         -0.19580626268668744      -0.005104047742510165     
Lambda        AB|SDSS|SDSS_i            6815.735655861318    All      -0.0005405383561340716     2.6618367405018628e-05     -6.398590515169344e-05    0.000181886206688374      
Lambda        AB|SDSS|SDSS_r            5620.415098844071    All      -0.00010690391933450086    -5.3291092620602975e-05    3.5635533664163784e-05    1.9053711669670466e-05    
Lambda        AB|SDSS|SDSS_z            8103.341544278011    All      -1.1096455087674752e-05    -6.334887428896205e-06     -6.292565530641407e-05    -1.257083751856737e-06    
Lambda        AB|SDSS|SDSS_u            3271.023669173921    All      -0.00012296817534936444    7.687528666321408e-05      0.00014614571785095623    7.161740239679464e-05     
Lambda        AB|SDSS|SDSS_g            4301.224882501162    All      -0.0003018901640747155     0.00013442923547699187     -0.0009415196775552669    0.00010010788395004423    
MWEBV         All|All|All               All                  All      -0.8573659441482135        -3.5005993483251174        0.6145737221621483        -0.8335624769513647       
Redshift      All|All|All               All                  All      5.301194615720441          0.9024451397632305         -7.026272598013317        -1.7463676944250925       
