#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6520.9196733257795    All      0.9415664517717715         -0.08544409216852955      -0.2474357089168286       -0.3455730410625103        
Zeropoint     AB|SDSS|SDSS_u            3129.5348988318374    All      -0.03381977056082594       0.04854976808843503       0.16701480565771498       0.03428357232064102        
Zeropoint     AB|SDSS|SDSS_r            5377.302941435452     All      0.9452186297579723         0.4893734921061821        0.7989011136044737        -0.1128324707126962        
Zeropoint     AB|SDSS|SDSS_z            7752.829916506339     All      0.13722363427558615        0.00094590701760211       0.10535514871674986       -0.03968862276344929       
Zeropoint     AB|SDSS|SDSS_g            4115.174556627625     All      -0.9941096009823964        0.5474838335437937        -0.8125462094010865       0.465887493106919          
Check         All|All|All               All                   All      0.9960793442621076         1.0009089085874834        0.011289149661023457      0.002076930888904205       
Lambda        AB|SDSS|SDSS_i            6520.9196733257795    All      -0.00029708938459514566    -1.404750815969639e-05    -0.0003034705817999242    7.865355268041032e-05      
Lambda        AB|SDSS|SDSS_u            3129.5348988318374    All      -3.0311145081141072e-05    4.192614240795976e-05     0.00014418921099546152    2.9964563321002952e-05     
Lambda        AB|SDSS|SDSS_r            5377.302941435452     All      0.00019407868990489562     -3.493597956058445e-05    -0.0012649389888959158    -0.0001310460296235246     
Lambda        AB|SDSS|SDSS_z            7752.829916506339     All      3.004539966368206e-06      5.485849083791988e-07     1.1658049896226662e-05    -2.7974013752636963e-07    
Lambda        AB|SDSS|SDSS_g            4115.174556627625     All      -0.0009946496333206251     0.0003873942328045037     -0.0013980696392630818    0.0003877877281909077      
MWEBV         All|All|All               All                   All      -0.6566357268769503        -3.3645297215130654       0.3305977812782943        -0.8672971005214948        
Redshift      All|All|All               All                   All      6.551742304714017          -0.5834698605214683       5.750903460732855         -2.0675369352166397        
