#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                4327.034351978663     All      -0.9307852228153263       0.7962505857058488        0.15789939861152735        0.5695987055801155        
Zeropoint     AB|PS|PS_z                7649.004253143258     All      1.0088755695855085        0.07162807266496429       3.6038903999829675         -0.14446726779246827      
Zeropoint     AB|PS|PS_r                5495.039882318928     All      0.7848314783497499        0.42005512771670084       0.6658354800302302         -0.08910647878466044      
Zeropoint     AB|PS|PS_i                6655.6833950984765    All      0.16833604757156073       -0.2896926675354905       -4.331311523897285         -0.34248156152474896      
Check         All|All|All               All                   All      1.0312578726914927        0.9982411185520235        0.09631375472743997        -0.006456602521762167     
Lambda        AB|PS|PS_g                4327.034351978663     All      -0.0001308349079996093    8.310639922419307e-05     -0.00018579584490600708    6.139650699403239e-05     
Lambda        AB|PS|PS_z                7649.004253143258     All      -0.000151022339182026     -2.043475422953814e-05    -0.0007070663511049316     1.09835488114372e-05      
Lambda        AB|PS|PS_r                5495.039882318928     All      0.00018225237457019465    7.616159661399729e-05     0.0007763943682489652      8.965814133905415e-08     
Lambda        AB|PS|PS_i                6655.6833950984765    All      -4.279855596374025e-05    0.00013134971447666607    0.0021167393518098094      0.00015118617642943005    
MWEBV         All|All|All               All                   All      -0.4839232751445435       -3.5200077156922305       0.5819074910045852         -0.9629847277785208       
Redshift      All|All|All               All                   All      1.3439100185710084        0.2683398682378879        -21.93709763656737         -1.3293004972452283       
