#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                4327.034351978663     All      -0.9108844541492385        0.7900523281620053        0.16415242872315192        0.5613764381258357         
Zeropoint     AB|PS|PS_z                7649.004253143258     All      1.0246531437877437         0.0717077876773331        3.6417971385459116         -0.14788897333212406       
Zeropoint     AB|PS|PS_r                5495.039882318928     All      0.7963370944791764         0.4688338210344867        1.0830005696075482         -0.05834924931871517       
Zeropoint     AB|PS|PS_i                6655.6833950984765    All      0.09929344020982467        -0.3313463931466032       -4.820355005931423         -0.35538386617883805       
Check         All|All|All               All                   All      1.0093992243275063         0.9992475437272219        0.0685951309451891         -0.00024565070384152676    
Lambda        AB|PS|PS_g                4327.034351978663     All      -0.00024374610852526604    0.0001788587093943505     -0.00016432298237604418    0.00013032331248667703     
Lambda        AB|PS|PS_z                7649.004253143258     All      -2.7564145104791642e-05    -6.738677575253356e-07    -7.678923168942403e-05     5.332297265737854e-06      
Lambda        AB|PS|PS_r                5495.039882318928     All      0.00016395455665938014     8.279243280126292e-05     0.0004439636573152993      -6.6251149204955086e-06    
Lambda        AB|PS|PS_i                6655.6833950984765    All      3.8116654498630354e-05     0.00017289141277575107    0.0026809026302075274      0.00016353694417444692     
MWEBV         All|All|All               All                   All      -0.46515534374941225       -3.520527423242825        0.6438846624107893         -0.9665015898186108        
Redshift      All|All|All               All                   All      2.2071882663786924         0.4067146131138344        -13.296256360075652        -1.1798243565456752        
