#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3990.1974810602383    All      -0.7942441366859425        0.5454154787903676         0.09105669314435301        0.4404346522596373        
Zeropoint     AB|SDSS|SDSS_r            5213.995264734796     All      0.7099896293014167         0.3798406081083172         -0.6935833933496935        -0.13849183911466045      
Zeropoint     AB|SDSS|SDSS_z            7517.377933363651     All      0.10442185054401498        0.004439001327050107       0.23113358704948161        -0.02225327289615176      
Zeropoint     AB|SDSS|SDSS_i            6322.880572051312     All      1.05190300437329           0.04014425380329811        0.33774207034839354        -0.31449123352842406      
Zeropoint     AB|SDSS|SDSS_u            3034.4915138769593    All      -0.07960020202330764       0.03012526571470886        0.03826694987121864        0.03744887292194575       
Check         All|All|All               All                   All      0.9924701455094715         0.9999646077437419         0.004615907063753304       0.0026471796423467725     
Lambda        AB|SDSS|SDSS_g            3990.1974810602383    All      -0.000628314819781609      0.00036081796253860187     -0.0004074759029710617     0.0003040093106231842     
Lambda        AB|SDSS|SDSS_r            5213.995264734796     All      5.800128778796863e-05      4.362165533747072e-05      -0.0018286369692925727     -8.62875886786907e-05     
Lambda        AB|SDSS|SDSS_z            7517.377933363651     All      -1.3752986153572515e-05    -7.65411056949323e-07      -3.4634242326061284e-05    2.6849133218087283e-06    
Lambda        AB|SDSS|SDSS_i            6322.880572051312     All      -0.0003496879265181547     -3.1176099058368375e-05    -0.0006868528272402708     7.309869385272613e-05     
Lambda        AB|SDSS|SDSS_u            3034.4915138769593    All      -8.039159935459704e-05     3.1454996544844855e-05     5.3474342381246886e-05     3.8818430229860825e-05    
MWEBV         All|All|All               All                   All      -0.7354591554343313        -3.234031418938166         0.13026116888573933        -0.8080542291096053       
Redshift      All|All|All               All                   All      4.923456581838639          -0.378705995657036         -3.0355355208339816        -1.8625507960423229       
