#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6357.475844609009     All      0.8780505358985198         0.09679141995615481        0.7675971349415112        -0.22022746203758242      
Zeropoint     AB|PS|PS_i                5531.876439513774     All      0.9046536716135838         0.21091798950418905        -0.49860087068351877      -0.24822280175668954      
Zeropoint     AB|PS|PS_g                3596.4179729921416    All      -0.6895391319088023        0.31325919150777537        -0.1510599981070948       0.31990329109964355       
Zeropoint     AB|PS|PS_r                4567.206679568757     All      -0.09745130964372345       0.3772529241159006         -0.11629975586372465      0.1494368622821804        
Check         All|All|All               All                   All      0.995713765959578          0.9982215250840198         0.001636510287172932      0.0008898895875519841     
Lambda        AB|PS|PS_z                6357.475844609009     All      -2.2984155806404083e-05    -4.446294586458724e-05     -0.0006831541208686693    -3.748237935413383e-05    
Lambda        AB|PS|PS_i                5531.876439513774     All      -3.8397592785076795e-05    -5.805608689431194e-05     -0.0008965055135930979    -4.641034184739074e-05    
Lambda        AB|PS|PS_g                3596.4179729921416    All      -0.0014422554638620336     0.0003829285430352494      -0.002282531057718221     0.0004926635999967058     
Lambda        AB|PS|PS_r                4567.206679568757     All      -0.00029222624834405954    -0.00024059879069820091    -0.002076808568251838     -7.586166651617043e-05    
MWEBV         All|All|All               All                   All      -0.4594613552831728        -2.6679070965197837        0.12597262899691763       -0.7137418537667861       
Redshift      All|All|All               All                   All      5.21970387208037           0.4591612913122489         3.285789130355976         -1.4040356579509292       
