#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3582.1134971780616    All      -0.330113441229384         0.12669119611414814       -0.10855061884190165       0.14395218324501358       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5355.142191688235     All      0.7076010240517889         0.1668998419617207        -0.2575375102515043        -0.18761687980277664      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7578.3030516185345    All      0.2984110531835255         -0.03397298661127479      0.14267483340070775        -0.10190149433840501      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6198.244549664625     All      1.0250253082401746         -0.06834299507945119      -0.04381262101705863       -0.3581011831918446       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4383.269344951163     All      -0.49189508655753716       0.3399230706488954        -0.08433316676631497       0.26718713790210014       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4788.311142689502     All      -0.21636132867403135       0.4671476744956937        0.3441789311764365         0.23800049405240942       
Check         All|All|All                              All                   All      0.9926675290145364         0.998345801529732         -0.00738015229963529       0.001520257866496899      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3582.1134971780616    All      -0.0004366812920791659     0.00013600156651079592    -0.0003812452802958299     0.00016952842188580885    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5355.142191688235     All      0.00020889404106309788     4.89891767050928e-05      -9.160482317294463e-05     -5.617417756765423e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7578.3030516185345    All      -7.749483466883741e-05     8.257204982635762e-06     -5.2091551903959315e-05    2.560765375916311e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6198.244549664625     All      -0.00012084623693590917    8.967919800624987e-06     -3.936331294464842e-05     4.052813774042909e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4383.269344951163     All      -0.00023639551025597037    6.175758360001285e-05     -0.0009169123442554835     5.620068491628078e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4788.311142689502     All      -0.00012181793526804747    -5.940056635798011e-05    -0.001702133297719592      -5.562700093730187e-05    
MWEBV         All|All|All                              All                   All      -1.0896474721403115        -4.013687102060359        -0.01930887950145066       -0.9533175721210901       
Redshift      All|All|All                              All                   All      4.376906458765374          0.3230290745669606        4.0319792276053255         -1.1405525179206788       
