#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3076.242865082393    All      -0.04560743932456467      0.03066756266925097        0.11211311112090912        0.02984837075484697       
Zeropoint     AB|SDSS|SDSS_i            6409.876632572979    All      1.000125422211431         -0.008714196473036395      -0.2541951170979266        -0.33995581424328447      
Zeropoint     AB|SDSS|SDSS_z            7620.808997449523    All      0.07389204003429548       -0.001850952808624129      0.029022252994009838       -0.02337685478265155      
Zeropoint     AB|SDSS|SDSS_g            4045.098322156325    All      -0.9796771428220175       0.5755825840711992         -0.6710663601072334        0.4766526500190638        
Zeropoint     AB|SDSS|SDSS_r            5285.734251805907    All      0.9456819187439676        0.40459044468619254        0.7928791234638358         -0.14086874076326694      
Check         All|All|All               All                  All      0.9944147988431117        1.0002754421449822         0.008753010373594772       0.0022996109847078228     
Lambda        AB|SDSS|SDSS_u            3076.242865082393    All      -4.371231428578738e-05    3.0212672892258245e-05     0.00012317776809618356     2.9576658438834783e-05    
Lambda        AB|SDSS|SDSS_i            6409.876632572979    All      -0.0003842432754200319    -1.9503582049596383e-05    -0.0004061022110646564     0.00010068524119041614    
Lambda        AB|SDSS|SDSS_z            7620.808997449523    All      -5.035024522634899e-06    -3.1571346200138217e-07    -5.300965799813371e-06     1.3006771159801581e-06    
Lambda        AB|SDSS|SDSS_g            4045.098322156325    All      -0.0009084636595310476    0.0003884386434118252      -0.001201441322151469      0.00036882893869971385    
Lambda        AB|SDSS|SDSS_r            5285.734251805907    All      0.00028241457863795676    7.953982961801617e-05      -0.00048284646072788335    -8.763020004549207e-05    
MWEBV         All|All|All               All                  All      -0.674262475296151        -3.305207202494387         0.25134365098041284        -0.8457689403954135       
Redshift      All|All|All               All                  All      7.347431922391939         -0.6511798462938145        0.600976225516845          -2.5785921908110576       
