#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3076.242865082393    All      -0.06079156453469395       0.03336220199336992        0.05335491910087864        0.03304996431429454       
Zeropoint     AB|SDSS|SDSS_i            6409.876632572979    All      1.0581881935750896         0.0008104528410157741      -0.0964686096920464        -0.34872766783774733      
Zeropoint     AB|SDSS|SDSS_z            7620.808997449523    All      0.07519178622237904        -0.002685868597041008      0.04634739499674856        -0.023299042900607657     
Zeropoint     AB|SDSS|SDSS_g            4045.098322156325    All      -0.9922278669675959        0.5728905138743912         -0.7243716633295927        0.4774851670898479        
Zeropoint     AB|SDSS|SDSS_r            5285.734251805907    All      0.9131176220340516         0.3960535293829892         0.7295028208025855         -0.13587042547267364      
Check         All|All|All               All                  All      0.9934781703292302         1.000430829494725          0.00836486187857366        0.002637995193113807      
Lambda        AB|SDSS|SDSS_u            3076.242865082393    All      -4.2353268117857796e-05    2.6176895186313224e-05     9.9580974286229e-05        2.6766370287095895e-05    
Lambda        AB|SDSS|SDSS_i            6409.876632572979    All      -0.00036908930135225436    -1.8838935394490592e-05    -0.0005080985964197678     9.141396034145134e-05     
Lambda        AB|SDSS|SDSS_z            7620.808997449523    All      -6.674396750331775e-06     -2.5896523618679346e-06    -2.2713021693035722e-05    3.169577903967251e-07     
Lambda        AB|SDSS|SDSS_g            4045.098322156325    All      -0.0009421318858726563     0.00040089173541670427     -0.0013009591340317733     0.00037941114655602856    
Lambda        AB|SDSS|SDSS_r            5285.734251805907    All      0.000324549603704649       9.852989467202779e-05      -0.0002887944952142366     -8.650962699575623e-05    
MWEBV         All|All|All               All                  All      -0.658789116672287         -3.3052994150583714        0.3236536579782734         -0.8476122955189125       
Redshift      All|All|All               All                  All      7.4340655547499965         -0.610543932384644         1.8060016941347012         -2.539800408807227        
