#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                5427.677630240422    All      -0.23910258906646897       0.33002992362454187       -0.812583603807753        0.14912330911053703        
Zeropoint     AB|PS|PS_z                7555.237117019697    All      0.9220669594997883         0.015006617005930423      1.454231071956952         -0.23056374124943174       
Zeropoint     AB|PS|PS_i                6574.093118737071    All      0.9910966477925383         -0.2517954516855214       -0.9643957004435705       -0.44788739753707785       
Zeropoint     AB|PS|PS_g                4273.99037322462     All      -0.6108195495478208        0.8155593200274591        0.3910688240948083        0.4820701297968302         
Check         All|All|All               All                  All      1.063241468678037          0.90880040897241          0.06832059180043687       -0.047257699879142356      
Lambda        AB|PS|PS_r                5427.677630240422    All      2.1511527193892075e-05     0.0001737083232831069     9.604392506916256e-05     5.386150287416616e-05      
Lambda        AB|PS|PS_z                7555.237117019697    All      0.00026753846389758744     -0.0006192461176481917    -0.0013411200160105025    -0.0003487029393287355     
Lambda        AB|PS|PS_i                6574.093118737071    All      3.795888457174337e-05      -0.0005121904892973005    -0.0010029310358575262    -0.00022395795628062706    
Lambda        AB|PS|PS_g                4273.99037322462     All      -0.00035094871208924804    0.0006065829299182773     0.000654013995174636      0.0003410851984841858      
MWEBV         All|All|All               All                  All      -0.2955023018880567        -3.7334173592963538       0.10007783644531837       -1.115376024044068         
Redshift      All|All|All               All                  All      3.2894652392370056         -0.4305841702986868       -4.035186166577252        -1.3918143043507414        
