object_id,mean,std,covariance,mean_blue,std_blue,covariance_blue
SN2004ef,"{'amplitude': 91.06566511315238, 'color': 0.08259943656478844, 's1': 0.8298498035268261, 's2': 0.8722433963862172, 's3': -0.13343586824877915, 't0': 53264.824736993454}","{'amplitude': 0.23830681770875808, 'color': 0.020582553244489012, 's1': 0.06842924512251349, 's2': 0.1550866149257494, 's3': 0.04150388685285776, 't0': 0.11017517901953655}","[[ 0.01213857 -0.01736986  0.00152674  0.00487337  0.00321737 -0.00325014]
 [-0.01736986  0.05679014 -0.00480979 -0.01425374 -0.02331745  0.00887293]
 [ 0.00152674 -0.00480979  0.00042364  0.00114171  0.00159821 -0.00074725]
 [ 0.00487337 -0.01425374  0.00114171  0.00468256  0.00532254 -0.00274252]
 [ 0.00321737 -0.02331745  0.00159821  0.00532254  0.02405186 -0.00246835]
 [-0.00325014  0.00887293 -0.00074725 -0.00274252 -0.00246835  0.00172257]]","{'amplitude': 91.40910182688812, 'color': 0.03826449585551829, 's1': 1.0699295941278388, 's2': -0.8784857813479126, 's3': 0.7459519199412884, 't0': 53264.85427817466}","{'amplitude': 0.08217136919230779, 'color': 0.009469106074910066, 's1': 0.11313974969465602, 's2': 0.2623488499216824, 's3': 0.2894836411301546, 't0': 0.11831839555234698}","[[ 1.39992427e-02  5.00846673e-03 -6.69157973e-04  8.64644616e-03
  -4.89834734e-03 -3.12066367e-02]
 [ 5.00846673e-03  6.75213391e-03 -5.78705035e-04  2.06244770e-03
   1.13723394e-02 -1.64783362e-02]
 [-6.69157973e-04 -5.78705035e-04  8.96639699e-05 -8.17370449e-04
  -2.02208904e-04  2.23603338e-03]
 [ 8.64644616e-03  2.06244770e-03 -8.17370449e-04  1.28006030e-02
  -1.13602398e-02 -2.44361190e-02]
 [-4.89834734e-03  1.13723394e-02 -2.02208904e-04 -1.13602398e-02
   6.88269191e-02  1.38198596e-04]
 [-3.12066367e-02 -1.64783362e-02  2.23603338e-03 -2.44361190e-02
   1.38198596e-04  8.38007785e-02]]"
SN2004eo,"{'amplitude': 87.43942850309091, 'color': 0.09199793532731779, 's1': 0.5812032926961715, 's2': -0.86892584373883, 's3': 1.621222942371165, 't0': 53278.93776954639}","{'amplitude': 0.04719865478283302, 'color': 0.0034174614014899282, 's1': 0.012102301718678743, 's2': 0.16008674618721194, 's3': 0.0328043182604126, 't0': 0.11023359475374785}","[[ 1.21514454e-02  3.11833712e-03 -6.97226014e-06  5.82240726e-04
   1.58102034e-02 -2.27976433e-03]
 [ 3.11833712e-03  2.22771301e-03 -1.20764220e-04  2.73752791e-04
   5.67093020e-03 -1.27451065e-03]
 [-6.97226014e-06 -1.20764220e-04  1.16790424e-05 -1.63520888e-05
  -1.39648116e-04  5.43455347e-05]
 [ 5.82240726e-04  2.73752791e-04 -1.63520888e-05  1.46465707e-04
   1.36999854e-03 -6.36310649e-05]
 [ 1.58102034e-02  5.67093020e-03 -1.39648116e-04  1.36999854e-03
   2.56277663e-02 -3.22718487e-03]
 [-2.27976433e-03 -1.27451065e-03  5.43455347e-05 -6.36310649e-05
  -3.22718487e-03  1.07612330e-03]]","{'amplitude': 86.57716380796717, 'color': 0.1662671163971139, 's1': 0.7550501850750214, 's2': 1.1318457779013151, 's3': -0.6412580691955152, 't0': 53278.78803276879}","{'amplitude': 0.13044024376384922, 'color': 0.014213452670619051, 's1': 0.06387480458159928, 's2': 0.1214940407992075, 's3': 0.2061942818272003, 't0': 0.03531949447969275}","[[ 0.00124747  0.00231824 -0.00023993  0.00091838  0.00016806  0.00478102]
 [ 0.00231824  0.01701466 -0.00179646  0.0072016  -0.00893498  0.02449417]
 [-0.00023993 -0.00179646  0.00020202 -0.00082985  0.0006743  -0.00272666]
 [ 0.00091838  0.0072016  -0.00082985  0.00407999 -0.00275879  0.01229036]
 [ 0.00016806 -0.00893498  0.0006743  -0.00275879  0.0147608  -0.0072009 ]
 [ 0.00478102  0.02449417 -0.00272666  0.01229036 -0.0072009   0.04251608]]"
SN2004ey,"{'amplitude': 87.7255328407044, 'color': 0.019290699779120683, 's1': -0.13709730561034655, 's2': -0.2920362341531434, 's3': 0.23490547250038926, 't0': 53305.10562486849}","{'amplitude': 0.026507827953323994, 'color': 0.0034795231272365507, 's1': 0.10367183110047982, 's2': 0.03292599194635244, 's3': 0.0985651219016417, 't0': 0.03244166454056848}","[[ 1.05246160e-03 -9.94232129e-05 -5.79270742e-05  3.06587458e-03
  -2.57743332e-05  2.68427783e-03]
 [-9.94232129e-05  7.02664943e-04 -6.64731041e-05 -2.93605578e-04
  -4.83927320e-04 -5.42596099e-04]
 [-5.79270742e-05 -6.64731041e-05  1.21070812e-05 -2.15722260e-04
   5.58774675e-05 -1.74477628e-04]
 [ 3.06587458e-03 -2.93605578e-04 -2.15722260e-04  1.07478486e-02
  -4.31148675e-04  9.76808059e-03]
 [-2.57743332e-05 -4.83927320e-04  5.58774675e-05 -4.31148675e-04
   1.08412095e-03 -1.46625742e-04]
 [ 2.68427783e-03 -5.42596099e-04 -1.74477628e-04  9.76808059e-03
  -1.46625742e-04  9.71508326e-03]]","{'amplitude': 87.59484958852106, 'color': 0.03630445142644445, 's1': -0.16269425500867032, 's2': -0.23439485551392716, 's3': -0.3355030592274256, 't0': 53305.07016014066}","{'amplitude': 0.03930484131950286, 'color': 0.004018006224991674, 's1': 0.10387985101724943, 's2': 0.10891523257340974, 's3': 0.22579808776589488, 't0': 0.0738924324978263}","[[ 5.46009158e-03 -2.14072203e-03  1.24508515e-04  7.38420780e-03
   1.30956409e-03  2.61080737e-03]
 [-2.14072203e-03  1.54487055e-03 -1.42484714e-04 -3.03927069e-03
   1.35853634e-03  3.80642379e-03]
 [ 1.24508515e-04 -1.42484714e-04  1.61443740e-05  1.72440791e-04
  -2.84262553e-04 -6.76553028e-04]
 [ 7.38420780e-03 -3.03927069e-03  1.72440791e-04  1.07910234e-02
   2.37836337e-03  4.94739930e-03]
 [ 1.30956409e-03  1.35853634e-03 -2.84262553e-04  2.37836337e-03
   1.18625279e-02  2.26277538e-02]
 [ 2.61080737e-03  3.80642379e-03 -6.76553028e-04  4.94739930e-03
   2.26277538e-02  5.09847764e-02]]"
SN2004gs,"{'amplitude': 90.57286188944244, 'color': 0.1969215444343409, 's1': 1.1246605714157552, 's2': 0.13062965231920567, 's3': -1.1339670687767724, 't0': 53356.73034649211}","{'amplitude': 0.09399694875975378, 'color': 0.009862609656024889, 's1': 0.11782972870445023, 's2': 0.6412138181940231, 's3': 0.2701345589599515, 't0': 0.1573473868585708}","[[ 2.47582002e-02 -7.26341042e-03 -9.53446045e-04  1.52859813e-02
   8.73540942e-02  3.57656034e-02]
 [-7.26341042e-03  8.83542638e-03  1.49345912e-04 -8.19844026e-03
  -3.77369274e-02 -1.70069122e-02]
 [-9.53446045e-04  1.49345912e-04  9.72710692e-05 -6.92479261e-04
  -3.68620204e-03 -1.65612683e-03]
 [ 1.52859813e-02 -8.19844026e-03 -6.92479261e-04  1.38838450e-02
   6.82010785e-02  2.68692063e-02]
 [ 8.73540942e-02 -3.77369274e-02 -3.68620204e-03  6.82010785e-02
   4.11155161e-01  1.59857821e-01]
 [ 3.57656034e-02 -1.70069122e-02 -1.65612683e-03  2.68692063e-02
   1.59857821e-01  7.29726799e-02]]","{'amplitude': 90.87331666698817, 'color': 0.1437872222751958, 's1': 1.3251957359872835, 's2': -0.7317472352776887, 's3': 0.5773575751798322, 't0': 53356.2549834261}","{'amplitude': 0.16644604919043834, 'color': 0.016155388653955393, 's1': 0.1243071654600764, 's2': 0.8413876206009892, 's3': 0.2975671135472612, 't0': 0.3172041021858361}","[[ 1.00618442e-01 -3.93827497e-02  2.70135662e-03  3.28307550e-02
   2.07364141e-01 -7.70172693e-02]
 [-3.93827497e-02  2.77042873e-02 -2.41269389e-03 -1.40953961e-02
  -1.03741735e-01  3.95921862e-02]
 [ 2.70135662e-03 -2.41269389e-03  2.60996583e-04  6.67803854e-04
   6.46150608e-03 -3.55576107e-03]
 [ 3.28307550e-02 -1.40953961e-02  6.67803854e-04  1.54522714e-02
   9.56212431e-02 -2.22320028e-02]
 [ 2.07364141e-01 -1.03741735e-01  6.46150608e-03  9.56212431e-02
   7.07933128e-01 -1.76734841e-01]
 [-7.70172693e-02  3.95921862e-02 -3.55576107e-03 -2.22320028e-02
  -1.76734841e-01  8.85461871e-02]]"
SN2005M,"{'amplitude': 89.74928240886474, 'color': -0.030702679925732248, 's1': -0.5543823522526846, 's2': 0.4185187827408812, 's3': 1.5139609206401599, 't0': 53406.422833252574}","{'amplitude': 0.011550784618261608, 'color': 0.0012424487666243065, 's1': 0.045129132071299934, 's2': 0.0522038461704344, 's3': 0.03711518565523844, 't0': 0.022352701675585097}","[[ 4.99643272e-04  5.72732054e-05 -9.12442940e-07  3.37056415e-05
  -3.08764103e-05 -1.75438876e-04]
 [ 5.72732054e-05  1.33420625e-04 -1.35547605e-05  3.01621051e-04
  -4.19789871e-04  2.35982917e-04]
 [-9.12442940e-07 -1.35547605e-05  1.54367894e-06 -2.82514999e-05
   3.75872058e-05 -2.41969669e-05]
 [ 3.37056415e-05  3.01621051e-04 -2.82514999e-05  2.03663856e-03
  -2.15789902e-03  1.44248378e-03]
 [-3.08764103e-05 -4.19789871e-04  3.75872058e-05 -2.15789902e-03
   2.72524155e-03 -1.71312427e-03]
 [-1.75438876e-04  2.35982917e-04 -2.41969669e-05  1.44248378e-03
  -1.71312427e-03  1.37753701e-03]]","{'amplitude': 89.5066526152086, 'color': 0.004130993520033245, 's1': -0.8165879799827644, 's2': 0.40483308356147546, 's3': 0.5129932781487863, 't0': 53406.58849074492}","{'amplitude': 0.26913565170793846, 'color': 0.03552343362737102, 's1': 0.3031670671015024, 's2': 0.20671774861239303, 's3': 1.0388329004179477, 't0': 0.17395953659972227}","[[ 0.03026192 -0.04087565  0.00524978 -0.04274055 -0.00867681 -0.14862423]
 [-0.04087565  0.072434   -0.0094904   0.07521542  0.02915702  0.27481229]
 [ 0.00524978 -0.0094904   0.00126191 -0.01019661 -0.00385416 -0.03665832]
 [-0.04274055  0.07521542 -0.01019661  0.09191027  0.02209973  0.29233007]
 [-0.00867681  0.02915702 -0.00385416  0.02209973  0.04273223  0.12738031]
 [-0.14862423  0.27481229 -0.03665832  0.29233007  0.12738031  1.07917379]]"
SN2005W,"{'amplitude': 84.32407311534924, 'color': 0.1770058968090082, 's1': 0.3273902425130275, 's2': 0.33181728842267944, 's3': 0.059434441438047415, 't0': 53412.87499513319}","{'amplitude': 0.07210231530982951, 'color': 0.007127952262123464, 's1': 0.2520460927022035, 's2': 0.14891075730965425, 's3': 0.1570801635597715, 't0': 0.12627748520019355}","[[ 1.59460033e-02  3.29764118e-03  2.02169278e-04 -3.07751876e-02
  -1.38782318e-02 -8.53723577e-03]
 [ 3.29764118e-03  5.19874387e-03 -4.16081921e-04 -7.00541334e-03
  -8.25343133e-03 -9.37942445e-03]
 [ 2.02169278e-04 -4.16081921e-04  5.08077035e-05 -3.91237180e-04
   3.10117904e-04  5.85442514e-04]
 [-3.07751876e-02 -7.00541334e-03 -3.91237180e-04  6.35272328e-02
   2.91480185e-02  2.10720913e-02]
 [-1.38782318e-02 -8.25343133e-03  3.10117904e-04  2.91480185e-02
   2.21744136e-02  1.96884639e-02]
 [-8.53723577e-03 -9.37942445e-03  5.85442514e-04  2.10720913e-02
   1.96884639e-02  2.46741778e-02]]","{'amplitude': 83.77505902075758, 'color': 0.23647437359289253, 's1': 0.20561858146796175, 's2': 0.37861330012976974, 's3': -1.3551493144822162, 't0': 53412.750750129046}","{'amplitude': 0.07520237702567335, 'color': 0.005232133889596819, 's1': 0.12766764739288344, 's2': 0.16001599683678006, 's3': 0.23447982967929082, 't0': 0.07274825958832996}","[[ 5.29230927e-03  3.58397295e-03 -2.42574899e-04 -7.08704681e-03
  -9.64714528e-03 -3.50967989e-03]
 [ 3.58397295e-03  5.65539751e-03 -3.81908676e-04 -1.36416177e-03
  -5.97067976e-03  7.70075440e-03]
 [-2.42574899e-04 -3.81908676e-04  2.73752250e-05  1.10119187e-04
   4.38274602e-04 -4.26329603e-04]
 [-7.08704681e-03 -1.36416177e-03  1.10119187e-04  1.62990282e-02
   1.71056788e-02  2.14634810e-02]
 [-9.64714528e-03 -5.97067976e-03  4.38274602e-04  1.71056788e-02
   2.56051192e-02  2.04797535e-02]
 [-3.50967989e-03  7.70075440e-03 -4.26329603e-04  2.14634810e-02
   2.04797535e-02  5.49807905e-02]]"
SN2005al,"{'amplitude': 88.18445371410527, 'color': -0.08843876396305081, 's1': 0.8727003085501872, 's2': 0.7669074543784968, 's3': 0.12074988638181608, 't0': 53431.7350910593}","{'amplitude': 0.21103456956040925, 'color': 0.017992898002653145, 's1': 0.16173560735436113, 's2': 0.2693384336102102, 's3': 0.25357786677823146, 't0': 0.596270817800903}","[[ 3.55538888e-01 -9.33937101e-02  4.87195248e-03  9.41442781e-02
   1.24794392e-01  3.35134954e-03]
 [-9.33937101e-02  4.45355895e-02 -3.47220041e-03 -2.70483073e-02
  -2.78620733e-02  1.20845091e-02]
 [ 4.87195248e-03 -3.47220041e-03  3.23744379e-04  1.43287513e-03
   6.22400149e-04 -1.86562339e-03]
 [ 9.41442781e-02 -2.70483073e-02  1.43287513e-03  2.61584067e-02
   3.57046827e-02  3.93215654e-03]
 [ 1.24794392e-01 -2.78620733e-02  6.22400149e-04  3.57046827e-02
   7.25431918e-02  3.24254459e-02]
 [ 3.35134954e-03  1.20845091e-02 -1.86562339e-03  3.93215654e-03
   3.24254459e-02  6.43017345e-02]]","{'amplitude': 88.01063117366957, 'color': -0.055220995384896915, 's1': 0.8120371167168144, 's2': -0.22106264072210874, 's3': -0.7764422172001635, 't0': 53431.87373877317}","{'amplitude': 0.10918103647716607, 'color': 0.010079160754096364, 's1': 0.04870717270735926, 's2': 0.2674770402916458, 's3': 0.15393036556866976, 't0': 0.17045621777445102}","[[ 0.02905532  0.0017501  -0.00032047  0.00134796  0.03268821  0.00346452]
 [ 0.0017501   0.0119205  -0.00107663 -0.00311571  0.01432684  0.01236463]
 [-0.00032047 -0.00107663  0.00010159  0.00020885 -0.00127186 -0.00126724]
 [ 0.00134796 -0.00311571  0.00020885  0.00237239 -0.00682523  0.00029333]
 [ 0.03268821  0.01432684 -0.00127186 -0.00682523  0.07154397  0.0046192 ]
 [ 0.00346452  0.01236463 -0.00126724  0.00029333  0.0046192   0.02369456]]"
SN2005am,"{'amplitude': 84.11419298965775, 'color': 0.03887853046985491, 's1': 1.0265337599583872, 's2': -0.9643091640195848, 's3': 0.31604537864319837, 't0': 53435.76713151362}","{'amplitude': 0.19487692280643312, 'color': 0.020640171231585566, 's1': 0.10707493613466551, 's2': 0.5718341264591039, 's3': 0.4162755489369826, 't0': 0.5361771304830969}","[[ 0.28748592 -0.03431447  0.0035364   0.04382372 -0.02763718  0.03304298]
 [-0.03431447  0.03797702 -0.00383308 -0.01263025 -0.00125479  0.03890559]
 [ 0.0035364  -0.00383308  0.00042602  0.00098024  0.00319835 -0.00583403]
 [ 0.04382372 -0.01263025  0.00098024  0.01146504 -0.02165813  0.00834684]
 [-0.02763718 -0.00125479  0.00319835 -0.02165813  0.32699427 -0.19668706]
 [ 0.03304298  0.03890559 -0.00583403  0.00834684 -0.19668706  0.17328533]]","{'amplitude': 83.769125600379, 'color': 0.07326462602870232, 's1': 1.2887290141552676, 's2': 0.3579287491262931, 's3': -0.48368686047286785, 't0': 53437.781728145055}","{'amplitude': 0.02198794378730437, 'color': 0.003975985556689347, 's1': 0.0369373653318792, 's2': 0.07397106716048468, 's3': 0.2062261399692092, 't0': 0.03963805608177495}","[[ 1.57117549e-03  2.80462217e-04 -6.81595546e-05  2.65751256e-04
   1.80777470e-03  2.38121814e-03]
 [ 2.80462217e-04  4.83469672e-04 -6.67030762e-05  1.13346003e-04
   5.79128858e-04  1.66673339e-03]
 [-6.81595546e-05 -6.67030762e-05  1.58084611e-05 -9.84922022e-05
  -1.26632265e-04 -6.83338832e-04]
 [ 2.65751256e-04  1.13346003e-04 -9.84922022e-05  1.36436896e-03
  -2.88928995e-04  7.23833636e-03]
 [ 1.80777470e-03  5.79128858e-04 -1.26632265e-04 -2.88928995e-04
   5.47171878e-03  1.97723149e-03]
 [ 2.38121814e-03  1.66673339e-03 -6.83338832e-04  7.23833636e-03
   1.97723149e-03  4.25292208e-02]]"
SN2005bo,"{'amplitude': 86.7820850447936, 'color': 0.24546708699714545, 's1': 0.6769041697520409, 's2': 0.17843767791551426, 's3': -0.015071091368213706, 't0': 53478.99700142044}","{'amplitude': 0.0353700661471741, 'color': 0.0028601306156275184, 's1': 0.027738552004246898, 's2': 0.18849671719487132, 's3': 0.08945148875954077, 't0': 0.15725565908949599}","[[ 2.47293423e-02 -4.05662246e-03  1.04476211e-04  4.02723855e-03
   2.78955417e-02 -1.25965451e-02]
 [-4.05662246e-03  1.25104158e-03 -7.04161728e-05 -7.15043477e-04
  -4.78628415e-03  2.07029058e-03]
 [ 1.04476211e-04 -7.04161728e-05  8.18034714e-06  1.28437537e-05
   5.23453359e-05 -3.45370030e-05]
 [ 4.02723855e-03 -7.15043477e-04  1.28437537e-05  7.69427267e-04
   4.77935573e-03 -2.13202073e-03]
 [ 2.78955417e-02 -4.78628415e-03  5.23453359e-05  4.77935573e-03
   3.55310124e-02 -1.58527370e-02]
 [-1.25965451e-02  2.07029058e-03 -3.45370030e-05 -2.13202073e-03
  -1.58527370e-02  8.00156884e-03]]","{'amplitude': 86.62001553834051, 'color': 0.26755110327591347, 's1': 0.5538210222459928, 's2': 0.10169251107522187, 's3': -0.20193237737239803, 't0': 53478.63705379518}","{'amplitude': 0.06645402604297837, 'color': 0.0071027363952503655, 's1': 0.040396548195741316, 's2': 0.11101767417869797, 's3': 0.13984632069304342, 't0': 0.15413367869116407}","[[ 2.37571909e-02  4.14501803e-03 -3.49720073e-04  4.76155462e-03
   6.10378348e-03  5.26450332e-03]
 [ 4.14501803e-03  4.41613758e-03 -4.62732677e-04  2.17110487e-03
  -4.13079298e-03  8.54294694e-03]
 [-3.49720073e-04 -4.62732677e-04  5.04488643e-05 -2.20983544e-04
   4.28119705e-04 -8.78427474e-04]
 [ 4.76155462e-03  2.17110487e-03 -2.20983544e-04  1.63188111e-03
  -6.74576980e-04  3.91997698e-03]
 [ 6.10378348e-03 -4.13079298e-03  4.28119705e-04 -6.74576980e-04
   1.23249240e-02 -1.10739143e-02]
 [ 5.26450332e-03  8.54294694e-03 -8.78427474e-04  3.91997698e-03
  -1.10739143e-02  1.95569934e-02]]"
SN2005el,"{'amplitude': 88.01219188986228, 'color': -0.01635777220201365, 's1': 0.8764116219525131, 's2': -0.32121034737689563, 's3': -0.5597202975273902, 't0': 53647.28812485935}","{'amplitude': 0.06943259692670846, 'color': 0.009599372362478526, 's1': 0.07883364633589263, 's2': 0.298859451183337, 's3': 0.30561932478478054, 't0': 0.11600496180417558}","[[ 1.34571512e-02  8.99720982e-04 -6.00999546e-04  7.66760956e-03
  -2.73822138e-02  2.49606389e-02]
 [ 8.99720982e-04  4.82088552e-03 -5.66813662e-04  2.00732991e-03
   1.43846207e-03  1.23109875e-02]
 [-6.00999546e-04 -5.66813662e-04  9.21479498e-05 -5.65661162e-04
   1.06241925e-03 -2.37320036e-03]
 [ 7.66760956e-03  2.00732991e-03 -5.65661162e-04  6.21474379e-03
  -1.78238889e-02  2.11616112e-02]
 [-2.73822138e-02  1.43846207e-03  1.06241925e-03 -1.78238889e-02
   8.93169716e-02 -6.46343645e-02]
 [ 2.49606389e-02  1.23109875e-02 -2.37320036e-03  2.11616112e-02
  -6.46343645e-02  9.34031717e-02]]","{'amplitude': 88.0911428916614, 'color': -0.024308842187426655, 's1': 0.8816866706552646, 's2': -0.24359776441027442, 's3': -0.10491118514150098, 't0': 53647.465443300876}","{'amplitude': 0.14727098270758593, 'color': 0.016122973922538992, 's1': 0.08394990803422572, 's2': 0.05444927103500208, 's3': 0.3575827911599157, 't0': 0.13454860641966582}","[[ 0.01810333 -0.00981372  0.0002066   0.01007617 -0.00497993 -0.03348883]
 [-0.00981372  0.02168874 -0.00211132 -0.00389212  0.00466184  0.04787342]
 [ 0.0002066  -0.00211132  0.00025995 -0.00019037 -0.00026945 -0.00385321]
 [ 0.01007617 -0.00389212 -0.00019037  0.00704759 -0.00314216 -0.0166302 ]
 [-0.00497993  0.00466184 -0.00026945 -0.00314216  0.00296472  0.0121225 ]
 [-0.03348883  0.04787342 -0.00385321 -0.0166302   0.0121225   0.12786545]]"
