object_id,mean,std,covariance,mean_blue,std_blue,covariance_blue
ps0909006,"{'amplitude': 102.16324681079033, 'color': 0.07254411791209159, 's1': -0.3955807777639984, 's2': 0.9965679510476453, 's3': 1.5281121657582053, 't0': 55075.62591015947}","{'amplitude': 0.45818795647480065, 'color': 0.06900758285673057, 's1': 0.6205040995305618, 's2': 0.4982131872894174, 's3': 1.5222588078381518, 't0': 1.913708132606468}","[[ 3.66227882 -0.56776602  0.09755708  0.65421162 -0.25325114 -2.43063124]
 [-0.56776602  0.2099362  -0.03069413 -0.07236203  0.00551637  0.49243135]
 [ 0.09755708 -0.03069413  0.00476205  0.01139996 -0.00506138 -0.07674307]
 [ 0.65421162 -0.07236203  0.01139996  0.38502534 -0.13739459 -0.41491177]
 [-0.25325114  0.00551637 -0.00506138 -0.13739459  0.24821638  0.06617937]
 [-2.43063124  0.49243135 -0.07674307 -0.41491177  0.06617937  2.31727188]]","{'amplitude': 102.21197246191038, 'color': 0.06907501524999461, 's1': -0.8640332785412529, 's2': 1.0386163370307975, 's3': 1.447960445158174, 't0': 55075.37416447492}","{'amplitude': 0.5479395820544597, 'color': 0.07721794654487554, 's1': 0.7036389688174031, 's2': 0.6029325434302689, 's3': 1.391645344056612, 't0': 1.7858888392380834}","[[ 3.18939895e+00 -5.85088332e-01  9.76112993e-02  6.34718036e-01
  -1.11868687e-01 -2.02882752e+00]
 [-5.85088332e-01  3.00237786e-01 -4.08906332e-02 -8.13892212e-02
  -5.12203422e-02  4.89886177e-01]
 [ 9.76112993e-02 -4.08906332e-02  5.96261127e-03  1.48702251e-02
  -4.89453085e-05 -7.57172927e-02]
 [ 6.34718036e-01 -8.13892212e-02  1.48702251e-02  4.95107798e-01
  -1.90636688e-01 -2.71822904e-01]
 [-1.11868687e-01 -5.12203422e-02 -4.89453085e-05 -1.90636688e-01
   3.63527652e-01 -5.02905678e-02]
 [-2.02882752e+00  4.89886177e-01 -7.57172927e-02 -2.71822904e-01
  -5.02905678e-02  1.93667676e+00]]"
ps0910017,"{'amplitude': 103.62856809039243, 'color': -0.11265332176702811, 's1': -0.4145652570630767, 's2': 1.5926759375727109, 's3': 0.2610049530368744, 't0': 55111.458500204826}","{'amplitude': 0.3321633373562156, 'color': 0.03486257120923291, 's1': 0.4420985351573758, 's2': 0.5086626822384173, 's3': 0.6391103806670626, 't0': 0.44990565137347677}","[[ 0.2024151   0.02655803 -0.00447506 -0.05484666 -0.06499061  0.11273693]
 [ 0.02655803  0.11033248 -0.01103873  0.02784227 -0.08901615  0.06475881]
 [-0.00447506 -0.01103873  0.0012154  -0.00318009  0.00767777 -0.00770264]
 [-0.05484666  0.02784227 -0.00318009  0.19545111 -0.11032923  0.09285979]
 [-0.06499061 -0.08901615  0.00767777 -0.11032923  0.25873772 -0.13005999]
 [ 0.11273693  0.06475881 -0.00770264  0.09285979 -0.13005999  0.40846208]]","{'amplitude': 103.94680721967985, 'color': -0.14538977591561303, 's1': -0.4397795352664585, 's2': 1.335747038608743, 's3': 0.4506777221121797, 't0': 55111.65905673783}","{'amplitude': 0.3588239286882477, 'color': 0.03829450122287272, 's1': 0.5319474433379444, 's2': 0.5173576870576063, 's3': 0.5282077878967688, 't0': 0.4788963800740756}","[[ 0.22934174  0.01639893 -0.00407269 -0.12265943 -0.00506098  0.09554731]
 [ 0.01639893  0.12875461 -0.01300067 -0.0107674  -0.04002142  0.03327325]
 [-0.00407269 -0.01300067  0.00146647  0.00177191  0.0013551  -0.0055505 ]
 [-0.12265943 -0.0107674   0.00177191  0.28296808 -0.14505898  0.01716176]
 [-0.00506098 -0.04002142  0.0013551  -0.14505898  0.26765898 -0.05061253]
 [ 0.09554731  0.03327325 -0.0055505   0.01716176 -0.05061253  0.27900347]]"
psc000006,"{'amplitude': 101.25201788621409, 'color': 0.14255094391100095, 's1': -0.032961290113607995, 's2': 0.573806223051893, 's3': 0.4964337356623639, 't0': 55204.711428567556}","{'amplitude': 0.1963549733985628, 'color': 0.024245486484588043, 's1': 0.4374278611315812, 's2': 0.5356493251340038, 's3': 0.601594302118399, 't0': 0.38686200915450536}","[[ 1.49662214e-01  2.16714782e-02 -1.75281571e-03 -1.01599736e-01
   4.62822738e-02 -3.86456655e-02]
 [ 2.16714782e-02  3.85552756e-02 -4.25894247e-03 -8.70926107e-03
  -3.66723913e-02  2.28089206e-02]
 [-1.75281571e-03 -4.25894247e-03  5.87843615e-04  1.04386285e-04
   1.69113897e-03 -2.50493326e-03]
 [-1.01599736e-01 -8.70926107e-03  1.04386285e-04  1.91343134e-01
  -1.34199153e-01  1.01563732e-01]
 [ 4.62822738e-02 -3.66723913e-02  1.69113897e-03 -1.34199153e-01
   2.86920200e-01 -1.59837745e-01]
 [-3.86456655e-02  2.28089206e-02 -2.50493326e-03  1.01563732e-01
  -1.59837745e-01  3.61915704e-01]]","{'amplitude': 101.3160804857531, 'color': 0.12735731695910632, 's1': -0.40725259314352835, 's2': 1.0777422724231132, 's3': -0.14070703503400167, 't0': 55204.92779254253}","{'amplitude': 0.2694135298165915, 'color': 0.030993037236928336, 's1': 0.5713109430601132, 's2': 0.5722102021644258, 's3': 0.7387511097847292, 't0': 0.48306026892442666}","[[ 0.23334722  0.06623218 -0.00727512 -0.19253247  0.0278341  -0.04405911]
 [ 0.06623218  0.07258365 -0.00726995 -0.0612821  -0.04807654  0.0107324 ]
 [-0.00727512 -0.00726995  0.00096057  0.00828656 -0.00141757  0.00123499]
 [-0.19253247 -0.0612821   0.00828656  0.32639619 -0.14081018  0.10183139]
 [ 0.0278341  -0.04807654 -0.00141757 -0.14081018  0.32742452 -0.05380771]
 [-0.04405911  0.0107324   0.00123499  0.10183139 -0.05380771  0.5457532 ]]"
psc000010,"{'amplitude': 101.8836767300833, 'color': 0.019064138008102593, 's1': -0.39762306248239865, 's2': 0.4841782344907827, 's3': -0.9118782402694305, 't0': 55215.94470585401}","{'amplitude': 0.23072922883085298, 'color': 0.01783649945314623, 's1': 0.30966644317782194, 's2': 0.7657489326107845, 's3': 1.0256377231042932, 't0': 0.3653467960258259}","[[ 1.33478281e-01 -1.13670879e-02 -8.64684635e-04  2.25275856e-02
   2.41972680e-02 -1.17196943e-01]
 [-1.13670879e-02  5.32359770e-02 -2.67659574e-03  1.28295178e-02
  -1.30675161e-01  2.74400940e-03]
 [-8.64684635e-04 -2.67659574e-03  3.18140713e-04 -1.34788058e-03
   5.26233000e-03  6.22311431e-03]
 [ 2.25275856e-02  1.28295178e-02 -1.34788058e-03  9.58933060e-02
  -7.33184279e-02 -9.84591229e-02]
 [ 2.41972680e-02 -1.30675161e-01  5.26233000e-03 -7.33184279e-02
   5.86371428e-01  3.24678558e-01]
 [-1.17196943e-01  2.74400940e-03  6.22311431e-03 -9.84591229e-02
   3.24678558e-01  1.05193274e+00]]","{'amplitude': 101.76758175034055, 'color': 0.018584540585064934, 's1': -0.145810981380321, 's2': 0.6382451188416376, 's3': -0.998634450190051, 't0': 55215.80496362908}","{'amplitude': 0.253370352005607, 'color': 0.030283631592347197, 's1': 0.3996608106018282, 's2': 0.818293491645381, 's3': 1.3807682563440171, 't0': 0.5020541761247912}","[[ 2.52058396e-01  6.55292111e-03  4.92239254e-03 -1.08454615e-01
   1.69929462e-01  2.61793738e-01]
 [ 6.55292111e-03  6.41965353e-02 -3.28512172e-03 -3.22597805e-02
  -7.82303691e-02  2.94498742e-02]
 [ 4.92239254e-03 -3.28512172e-03  9.17098342e-04 -4.96709075e-03
   2.80706304e-03  2.49535806e-02]
 [-1.08454615e-01 -3.22597805e-02 -4.96709075e-03  1.59728764e-01
  -2.30080117e-02 -2.07114930e-01]
 [ 1.69929462e-01 -7.82303691e-02  2.80706304e-03 -2.30080117e-02
   6.69604238e-01  4.08752574e-01]
 [ 2.61793738e-01  2.94498742e-02  2.49535806e-02 -2.07114930e-01
   4.08752574e-01  1.90652098e+00]]"
psc000011,"{'amplitude': 103.88379601053775, 'color': 0.17156026753273498, 's1': 0.9298932770950329, 's2': 0.7801125673247847, 's3': -1.8296364035504786, 't0': 55211.611159457825}","{'amplitude': 0.6353112490510606, 'color': 0.040977564080437553, 's1': 0.38610223478416356, 's2': 1.7748732472111302, 's3': 1.438720634453497, 't0': 0.6962521746129386}","[[ 4.84767091e-01  1.02519892e-01  5.08720633e-03 -4.32680081e-02
  -4.38682284e-01  2.14176686e-01]
 [ 1.02519892e-01  4.03620383e-01  1.36647130e-03 -8.02286447e-02
  -8.99468367e-01  7.18929148e-01]
 [ 5.08720633e-03  1.36647130e-03  1.67916076e-03 -1.62319497e-03
  -3.86142397e-02  1.89835076e-02]
 [-4.32680081e-02 -8.02286447e-02 -1.62319497e-03  1.49074936e-01
   1.66514557e-01 -1.51729730e-01]
 [-4.38682284e-01 -8.99468367e-01 -3.86142397e-02  1.66514557e-01
   3.15017504e+00 -1.77558107e+00]
 [ 2.14176686e-01  7.18929148e-01  1.89835076e-02 -1.51729730e-01
  -1.77558107e+00  2.06991706e+00]]","{'amplitude': 104.21851749251385, 'color': 0.16741911281305813, 's1': 1.0014144881232026, 's2': 0.08124379015394319, 's3': -0.9313171682593077, 't0': 55211.23701999835}","{'amplitude': 0.45807610727796394, 'color': 0.053840797370781304, 's1': 0.4685204968865868, 's2': 1.272503123323454, 's3': 1.4491569945084686, 't0': 0.9424508873654258}","[[ 8.88213675e-01  7.64819398e-02  2.88516952e-03 -9.51363373e-02
  -2.13747889e-01 -4.08497735e-01]
 [ 7.64819398e-02  2.09833720e-01 -1.62293384e-02 -1.00525448e-01
  -1.06344702e-01 -8.36210346e-02]
 [ 2.88516952e-03 -1.62293384e-02  2.89883146e-03 -1.79175267e-04
  -2.43467394e-02  2.91997022e-02]
 [-9.51363373e-02 -1.00525448e-01 -1.79175267e-04  2.19511456e-01
   6.53105109e-03 -4.86584198e-02]
 [-2.13747889e-01 -1.06344702e-01 -2.43467394e-02  6.53105109e-03
   1.61926420e+00 -2.99775785e-01]
 [-4.08497735e-01 -8.36210346e-02  2.91997022e-02 -4.86584198e-02
  -2.99775785e-01  2.10005599e+00]]"
psc000014,"{'amplitude': 99.04617119705517, 'color': -0.09920039037893928, 's1': -0.467984812243532, 's2': 0.8755113993543401, 's3': 0.8999590648618326, 't0': 55201.47740768056}","{'amplitude': 0.07100482929881678, 'color': 0.009072204803839155, 's1': 0.09417099928091999, 's2': 0.10472606228611506, 's3': 0.10924994749846831, 't0': 0.08734963839321656}","[[ 7.62995933e-03  1.83809073e-03 -1.83776995e-04 -3.05489718e-03
  -2.53196281e-03  3.90933851e-03]
 [ 1.83809073e-03  5.04168578e-03 -6.12949716e-04 -1.95895304e-03
  -1.48301337e-03  2.83526734e-03]
 [-1.83776995e-04 -6.12949716e-04  8.23049000e-05  1.64264139e-04
   2.02355990e-05 -3.29895821e-04]
 [-3.05489718e-03 -1.95895304e-03  1.64264139e-04  8.86817711e-03
  -7.34200240e-04 -2.62631556e-03]
 [-2.53196281e-03 -1.48301337e-03  2.02355990e-05 -7.34200240e-04
   1.09675481e-02 -1.16692231e-03]
 [ 3.90933851e-03  2.83526734e-03 -3.29895821e-04 -2.62631556e-03
  -1.16692231e-03  1.19355510e-02]]","{'amplitude': 99.33198374933502, 'color': -0.13265662008822807, 's1': -0.650527687982898, 's2': 1.0611140362176903, 's3': 0.6415517219514709, 't0': 55201.39573592383}","{'amplitude': 0.10278727935818406, 'color': 0.012339036637391559, 's1': 0.16197431409191215, 's2': 0.1134757752312924, 's3': 0.16463455836129948, 't0': 0.11104489726368293}","[[ 1.23309692e-02  2.17443859e-03 -1.42994721e-04 -9.71119569e-03
  -3.44625691e-03 -4.07883323e-03]
 [ 2.17443859e-03  1.05652248e-02 -1.22797625e-03 -5.76896197e-03
  -1.60080786e-03  3.94423971e-03]
 [-1.42994721e-04 -1.22797625e-03  1.52251825e-04  5.78896391e-04
  -9.35620220e-06 -6.32437644e-04]
 [-9.71119569e-03 -5.76896197e-03  5.78896391e-04  2.62356784e-02
  -4.02872260e-03  1.46659012e-03]
 [-3.44625691e-03 -1.60080786e-03 -9.35620220e-06 -4.02872260e-03
   1.28767516e-02  2.55878679e-03]
 [-4.07883323e-03  3.94423971e-03 -6.32437644e-04  1.46659012e-03
   2.55878679e-03  2.71045378e-02]]"
psc000034,"{'amplitude': 102.35846779309355, 'color': -0.15376681585491914, 's1': -1.367775965554817, 's2': 1.5799540253960502, 's3': -0.16144204197341439, 't0': 55208.840516941724}","{'amplitude': 0.09497871472287371, 'color': 0.010380851683758744, 's1': 0.22445523031332046, 's2': 0.2459270847239001, 's3': 0.24384369269299777, 't0': 0.2586454562624337}","[[ 6.68974720e-02  7.33837046e-04 -7.11319992e-04 -3.29968835e-02
   2.00420759e-02 -3.27705798e-02]
 [ 7.33837046e-04  9.02095625e-03 -8.45527789e-04 -6.16818715e-03
  -1.11328945e-02 -6.31382744e-03]
 [-7.11319992e-04 -8.45527789e-04  1.07762082e-04  1.11021328e-03
   5.33295677e-05  8.48398691e-04]
 [-3.29968835e-02 -6.16818715e-03  1.11021328e-03  5.03801504e-02
  -2.78481855e-03  2.61539198e-02]
 [ 2.00420759e-02 -1.11328945e-02  5.33295677e-05 -2.78481855e-03
   6.04801310e-02  5.06246924e-04]
 [-3.27705798e-02 -6.31382744e-03  8.48398691e-04  2.61539198e-02
   5.06246924e-04  5.94597465e-02]]","{'amplitude': 102.62666741854875, 'color': -0.1842966964484989, 's1': -1.5373145891400934, 's2': 1.47302427106115, 's3': -0.34292520179443, 't0': 55209.05029444256}","{'amplitude': 0.1442958559954802, 'color': 0.01702267272891124, 's1': 0.3723341773297169, 's2': 0.4710501093796925, 's3': 0.46483705390932184, 't0': 0.3278380740810802}","[[ 0.1074778  -0.0012028  -0.00153686 -0.05047701  0.07492666 -0.0640637 ]
 [-0.0012028   0.02082129 -0.00212019 -0.02571358 -0.00735618 -0.02828118]
 [-0.00153686 -0.00212019  0.00028977  0.00480202 -0.00296551  0.00494744]
 [-0.05047701 -0.02571358  0.00480202  0.13863274 -0.11899274  0.13881019]
 [ 0.07492666 -0.00735618 -0.00296551 -0.11899274  0.22188821 -0.12446621]
 [-0.0640637  -0.02828118  0.00494744  0.13881019 -0.12446621  0.21607349]]"
psc000038,"{'amplitude': 99.63430687469092, 'color': -0.09719655573556361, 's1': -0.7017594925409676, 's2': 1.149225560320863, 's3': 0.9600065755526722, 't0': 55204.63602183537}","{'amplitude': 0.09517850807284768, 'color': 0.009576750191644496, 's1': 0.1789205819234078, 's2': 0.22717124980156764, 's3': 0.21574803170412765, 't0': 0.12221602992214442}","[[ 1.49367580e-02 -2.51827486e-03  1.06370825e-04 -9.58657426e-03
   1.41923439e-02  1.83769196e-02]
 [-2.51827486e-03  9.05894840e-03 -8.50438126e-04  8.69423355e-03
  -1.56150621e-02 -5.11131915e-03]
 [ 1.06370825e-04 -8.50438126e-04  9.17141442e-05 -6.80541399e-04
   1.04452263e-03  1.34136830e-04]
 [-9.58657426e-03  8.69423355e-03 -6.80541399e-04  3.20125746e-02
  -2.76730963e-02 -1.23667440e-02]
 [ 1.41923439e-02 -1.56150621e-02  1.04452263e-03 -2.76730963e-02
   5.16067767e-02  3.07685165e-02]
 [ 1.83769196e-02 -5.11131915e-03  1.34136830e-04 -1.23667440e-02
   3.07685165e-02  4.65472132e-02]]","{'amplitude': 99.67116379840535, 'color': -0.09975659432841567, 's1': -1.1648426179277684, 's2': 1.2533436813924077, 's3': -0.02353499688628589, 't0': 55204.70998246191}","{'amplitude': 0.0921044715634412, 'color': 0.010773320705882578, 's1': 0.2505939219146155, 's2': 0.11292647085079377, 's3': 0.4599633103346026, 't0': 0.13745888278450122}","[[ 1.88949445e-02  3.67022679e-03 -2.19347234e-04 -2.12311980e-02
  -2.40066012e-03 -4.95249211e-02]
 [ 3.67022679e-03  8.48323368e-03 -9.32784458e-04 -8.37422565e-03
  -1.33337452e-03 -1.62793889e-02]
 [-2.19347234e-04 -9.32784458e-04  1.16064439e-04  7.81874556e-04
  -1.31859189e-04  1.19074273e-03]
 [-2.12311980e-02 -8.37422565e-03  7.81874556e-04  6.27973137e-02
  -8.55571832e-03  9.17417401e-02]
 [-2.40066012e-03 -1.33337452e-03 -1.31859189e-04 -8.55571832e-03
   1.27523878e-02  9.58488129e-04]
 [-4.95249211e-02 -1.62793889e-02  1.19074273e-03  9.17417401e-02
   9.58488129e-04  2.11566247e-01]]"
psc000091,"{'amplitude': 99.8044316452145, 'color': 0.026290003822552005, 's1': 1.1783198991401311, 's2': 0.4649262922903844, 's3': -0.31079496296851344, 't0': 55211.205634742895}","{'amplitude': 0.08820852285463918, 'color': 0.009027169001905803, 's1': 0.0579196697095026, 's2': 0.3041854196977618, 's3': 0.1828584885997903, 't0': 0.10132518663080123}","[[ 1.02667934e-02  5.48044195e-03 -3.94116064e-04 -5.97343515e-04
  -2.19314664e-02  7.07347787e-03]
 [ 5.48044195e-03  7.78074350e-03 -6.53844322e-04 -1.03616542e-03
  -2.26350396e-02  8.76696807e-03]
 [-3.94116064e-04 -6.53844322e-04  8.14897802e-05 -1.57214966e-04
   1.85660917e-03 -1.04135097e-03]
 [-5.97343515e-04 -1.03616542e-03 -1.57214966e-04  3.35468814e-03
  -9.27237340e-04  4.87364024e-03]
 [-2.19314664e-02 -2.26350396e-02  1.85660917e-03 -9.27237340e-04
   9.25287696e-02 -4.24704982e-02]
 [ 7.07347787e-03  8.76696807e-03 -1.04135097e-03  4.87364024e-03
  -4.24704982e-02  3.34372269e-02]]","{'amplitude': 99.94747904159021, 'color': 0.01692859627205422, 's1': 1.083595402821583, 's2': 0.45673240551863475, 's3': -0.5791145325754858, 't0': 55211.20990004389}","{'amplitude': 0.10878640846943094, 'color': 0.007528020686757146, 's1': 0.06816500063171914, 's2': 0.18761043952739218, 's3': 0.15537894339234137, 't0': 0.08071079710723392}","[[ 6.51423277e-03  9.64253523e-04 -3.49249644e-05 -2.20697778e-04
  -3.08030728e-03 -1.94798408e-03]
 [ 9.64253523e-04  1.18344827e-02 -6.36029868e-04 -6.32699412e-03
  -1.64794937e-02 -7.08416821e-03]
 [-3.49249644e-05 -6.36029868e-04  5.66710955e-05  2.19799507e-04
   4.90771842e-04  2.30473788e-04]
 [-2.20697778e-04 -6.32699412e-03  2.19799507e-04  4.64646731e-03
   9.88839057e-03  4.94604569e-03]
 [-3.08030728e-03 -1.64794937e-02  4.90771842e-04  9.88839057e-03
   3.51976770e-02  1.69696042e-02]
 [-1.94798408e-03 -7.08416821e-03  2.30473788e-04  4.94604569e-03
   1.69696042e-02  2.41426160e-02]]"
psc000174,"{'amplitude': 101.7293718061252, 'color': 0.07408575086363081, 's1': 0.6692497374735497, 's2': -0.5213589502687886, 's3': 1.6705429108962493, 't0': 55217.19326595499}","{'amplitude': 0.17231529855576042, 'color': 0.017353287884343236, 's1': 0.14486336841474787, 's2': 0.2707236245719948, 's3': 0.31208584374138154, 't0': 0.3600818531106782}","[[ 0.12965894  0.03111903 -0.00145402 -0.01801254 -0.00424861 -0.07439584]
 [ 0.03111903  0.02969256 -0.0026016  -0.01039268 -0.01007753 -0.02257962]
 [-0.00145402 -0.0026016   0.00030114  0.00033815  0.00063455  0.00087452]
 [-0.01801254 -0.01039268  0.00033815  0.0209854   0.01890902 -0.00377038]
 [-0.00424861 -0.01007753  0.00063455  0.01890902  0.07329128 -0.00877668]
 [-0.07439584 -0.02257962  0.00087452 -0.00377038 -0.00877668  0.09739757]]","{'amplitude': 101.69418023605851, 'color': 0.07753490565578643, 's1': 0.7687147115192061, 's2': -0.2674758434511639, 's3': 1.3995300648202447, 't0': 55217.3024272988}","{'amplitude': 0.20441263217435315, 'color': 0.0210856984387515, 's1': 0.1343887982241927, 's2': 0.40149577433800454, 's3': 0.4410738708168724, 't0': 0.33035535556705675}","[[ 1.09134661e-01  2.54737516e-02 -1.67451556e-03 -4.35789132e-03
   3.06614451e-02 -8.82942123e-02]
 [ 2.54737516e-02  4.17845242e-02 -3.91550997e-03 -7.03280489e-03
   8.16519489e-03 -4.28583689e-02]
 [-1.67451556e-03 -3.91550997e-03  4.44606679e-04 -5.13394660e-05
  -1.62845959e-03  2.90349161e-03]
 [-4.35789132e-03 -7.03280489e-03 -5.13394660e-05  1.80603491e-02
   2.04923421e-02 -7.12822370e-03]
 [ 3.06614451e-02  8.16519489e-03 -1.62845959e-03  2.04923421e-02
   1.61198857e-01 -7.56751800e-02]
 [-8.82942123e-02 -4.28583689e-02  2.90349161e-03 -7.12822370e-03
  -7.56751800e-02  1.94546160e-01]]"
