#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6556.536692316322     All      0.9693734816823734         0.060866749427290756      0.6672552796673409        -0.26615399314027915      
Zeropoint     AB|PS|PS_g                3709.0265031559966    All      -0.795027194522381         0.35119773709606505       -0.2589606869949223       0.3618069438111211        
Zeropoint     AB|PS|PS_i                5705.08669471207      All      0.5793656257772881         0.02458376122511652       -1.192577560340741        -0.23392996427324206      
Zeropoint     AB|PS|PS_r                4710.211868343544     All      0.24224846327058963        0.5622340278771176        0.7920865967584158        0.13957701249590584       
Check         All|All|All               All                   All      0.9959603762078701         0.99888227562559          0.007803629090093467      0.0012999988935057383     
Lambda        AB|PS|PS_z                6556.536692316322     All      -0.0005773213939892486     -3.331414847437134e-05    -0.0004402391100292047    0.00015755520763546457    
Lambda        AB|PS|PS_g                3709.0265031559966    All      -0.0014101994174082538     0.0005412493062960557     -0.001076889254589151     0.000587594428607686      
Lambda        AB|PS|PS_i                5705.08669471207      All      -0.00019968559113217818    1.1848056495647001e-05    0.0006588630762315036     9.830550132623492e-05     
Lambda        AB|PS|PS_r                4710.211868343544     All      -0.00010001077315451613    -7.295250325845383e-05    -0.0009257828455182288    -3.249966773287787e-05    
MWEBV         All|All|All               All                   All      -0.47233438843487985       -2.820219160538606        0.02846040609395024       -0.7635132561787802       
Redshift      All|All|All               All                   All      5.297115987445074          0.03865337840647243       -1.3591615480141257       -1.7735074075298167       
