#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6556.536692316322     All      1.0252274789989126        0.07606939892959019       0.9040700483550435        -0.2688275190373556       
Zeropoint     AB|PS|PS_g                3709.0265031559966    All      -0.8541898989031352       0.3487696734490342        -0.48234771524753306      0.3703185457209308        
Zeropoint     AB|PS|PS_i                5705.08669471207      All      0.5852277408645301        0.032220855832854056      -1.1346155701540184       -0.2307652176360836       
Zeropoint     AB|PS|PS_r                4710.211868343544     All      0.24024066330284966       0.5418016845451845        0.719738965358957         0.1303469900640104        
Check         All|All|All               All                   All      0.9965059842631572        0.998861612756663         0.0068457283124490065     0.001072799111502043      
Lambda        AB|PS|PS_z                6556.536692316322     All      -0.0006273574615709983    -6.18109487417757e-05     -0.0008797449125051145    0.00014495813023323188    
Lambda        AB|PS|PS_g                3709.0265031559966    All      -0.0014546072480738311    0.0005664153721318614     -0.0010081506954791341    0.0006133244217996909     
Lambda        AB|PS|PS_i                5705.08669471207      All      -0.0001950360536768488    1.4162398026409827e-06    0.0005227962660415386     8.73209713117852e-05      
Lambda        AB|PS|PS_r                4710.211868343544     All      -8.416939875469642e-05    -6.323927833566643e-05    -0.0008955487050070808    -3.31465967970489e-05     
MWEBV         All|All|All               All                   All      -0.46926551734485056      -2.820716082369046        0.03281290898521361       -0.7644805200303653       
Redshift      All|All|All               All                   All      5.598935733959233         0.002917748639852391      -0.9249143582481301       -1.864081841172435        
