#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3144.077278885482    All      -0.0787694649097675       0.04605768751098083       0.09315716129905652       0.0448174864881821        
Zeropoint     AB|SDSS|SDSS_g            4134.297025085129    All      -0.8260877709423572       0.6129218271468062        -0.31399656335937876      0.4547205436185435        
Zeropoint     AB|SDSS|SDSS_z            7788.855908476962    All      0.10790510388200099       -0.0015977679472811701    0.09210477766564076       -0.03155847468699979      
Zeropoint     AB|SDSS|SDSS_r            5402.290291174586    All      0.810118810708105         0.35900253481155886       -0.03456118949292379      -0.1484857194974191       
Zeropoint     AB|SDSS|SDSS_i            6551.221202228426    All      0.9794926437473693        -0.015917025616829505     0.1684231854297836        -0.316721724091309        
Check         All|All|All               All                  All      0.9926593224853506        1.0004672559052352        0.005127371542178322      0.0027721118309977366     
Lambda        AB|SDSS|SDSS_u            3144.077278885482    All      -5.797638717653882e-05    3.419949540042006e-05     6.936646271603457e-05     3.312022409415492e-05     
Lambda        AB|SDSS|SDSS_g            4134.297025085129    All      -0.0007276400704277935    0.00034624763365589115    -0.0013013977771459272    0.00029172514938589336    
Lambda        AB|SDSS|SDSS_z            7788.855908476962    All      3.173650420954525e-06     -3.707664246333964e-08    1.0238783579296e-05       -5.889295482261606e-07    
Lambda        AB|SDSS|SDSS_r            5402.290291174586    All      0.00017395090856038177    3.794162349771032e-05     -0.0007143307818923609    -7.618000071072472e-05    
Lambda        AB|SDSS|SDSS_i            6551.221202228426    All      -0.0003261065759633931    -9.02483815016022e-06     -0.0003282080489588336    8.86375358651051e-05      
MWEBV         All|All|All               All                  All      -0.7447880886484901       -3.3934726179129626       0.19489335212219266       -0.8540664951217368       
Redshift      All|All|All               All                  All      5.114606585615181         -0.49242383227987574      4.121452739057182         -1.642472766333623        
