#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3144.077278885482    All      -0.05551516368480071       0.035176022741723045       0.08190684209583576        0.03319622924874699       
Zeropoint     AB|SDSS|SDSS_g            4134.297025085129    All      -0.81820329063298          0.694334231499738          0.25666766052732104        0.5041371308224629        
Zeropoint     AB|SDSS|SDSS_z            7788.855908476962    All      0.11356357790940173        -0.003970830492683319      0.09338133258005588        -0.034117643595640845     
Zeropoint     AB|SDSS|SDSS_r            5402.290291174586    All      0.7197977790188479         0.34224504231108455        -0.25582153653010975       -0.13439748769133175      
Zeropoint     AB|SDSS|SDSS_i            6551.221202228426    All      1.0359714946685687         -0.06716220358189418       -0.16485601678271067       -0.3666837044135812       
Check         All|All|All               All                  All      0.9956143972790377         1.0006222624779681         0.011278281890392261       0.002134524370656088      
Lambda        AB|SDSS|SDSS_u            3144.077278885482    All      -5.0993077307438796e-05    3.6671764583327845e-05     0.00010048365256298253     3.303944700061735e-05     
Lambda        AB|SDSS|SDSS_g            4134.297025085129    All      -0.0009023983595544664     0.000501719544262462       -0.001156317089056045      0.000405766274467834      
Lambda        AB|SDSS|SDSS_z            7788.855908476962    All      1.0307959043653806e-05     4.81773683817865e-07       2.6863196743203296e-05     -2.001930751145632e-06    
Lambda        AB|SDSS|SDSS_r            5402.290291174586    All      0.00020719852623708084     6.14660396464938e-05       -0.0007728112822586307     -8.195688347231904e-05    
Lambda        AB|SDSS|SDSS_i            6551.221202228426    All      -0.00026147040468557257    -1.1894827316927478e-05    -0.00036674794375900265    6.492870002399405e-05     
MWEBV         All|All|All               All                  All      -0.6800139242040477        -3.425010646610893         0.14690126452944208        -0.8875802114548248       
Redshift      All|All|All               All                  All      4.996534586750762          -1.2903484906996           2.240182160346893          -1.9478756096035303       
