#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5673.836501216611     All      0.35218834371160956        0.029023659123339485       -2.8117321760558984       -0.23074006277131212      
Zeropoint     AB|PS|PS_z                6520.622594729537     All      1.2137903440212177         0.2277172551924167         2.2392410066546597        -0.22126940420752853      
Zeropoint     AB|PS|PS_r                4684.411203048348     All      0.05326872898864324        0.25349425499410216        0.1464880700957099        0.07175713081712418       
Zeropoint     AB|PS|PS_g                3688.7099326802418    All      -0.6230476268607191        0.4886493004729431         0.4316178434948436        0.38137738498125595       
Check         All|All|All               All                   All      0.9961997898607514         0.9988844697828014         0.005614744189314846      0.0011250488195394537     
Lambda        AB|PS|PS_i                5673.836501216611     All      -0.00017154860704362461    -3.73348751363231e-05      9.239425671885337e-05     4.7840959308724576e-05    
Lambda        AB|PS|PS_z                6520.622594729537     All      -0.00039913901391841423    -8.68631823507942e-05      -0.0009763649874632286    5.814782680298298e-05     
Lambda        AB|PS|PS_r                4684.411203048348     All      -0.00017423902364182913    -4.4301292618722366e-05    -0.0007703927782298198    7.945902412254542e-06     
Lambda        AB|PS|PS_g                3688.7099326802418    All      -0.0008571050472199324     0.0006358090040413909      0.0003910562575803014     0.0005037422666286074     
MWEBV         All|All|All               All                   All      -0.4864605130279056        -2.7706909681393554        0.03967752908188047       -0.7422783822890007       
Redshift      All|All|All               All                   All      3.216941203196909          -0.7064928594527231        -3.7037864829074256       -1.4432745312078012       
