#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5673.836501216611     All      0.4043850811603551         0.05261509631431238        -2.700133217488454        -0.2350776011863065       
Zeropoint     AB|PS|PS_z                6520.622594729537     All      1.286892008911733          0.2601947296293261         2.842941590977288         -0.20756165515261188      
Zeropoint     AB|PS|PS_r                4684.411203048348     All      -0.015629559703854767      0.23163665683050283        -0.339491722625862        0.06539278519042818       
Zeropoint     AB|PS|PS_g                3688.7099326802418    All      -0.6797904884963895        0.4539202950287091         0.2015484163939707        0.3782810803163103        
Check         All|All|All               All                   All      0.9958570418718439         0.9983667778028504         0.004865067256942801      0.0010346091678201108     
Lambda        AB|PS|PS_i                5673.836501216611     All      -0.00020786297179875405    -5.9072037010845905e-05    7.316745437996323e-05     5.1731229979792544e-05    
Lambda        AB|PS|PS_z                6520.622594729537     All      -0.0005198276180376081     -0.000116257758062434      -0.0013935817678318674    6.926682663915579e-05     
Lambda        AB|PS|PS_r                4684.411203048348     All      -0.0002697749014303497     -7.066483790818033e-05     -0.001067650997024318     1.721233776216215e-05     
Lambda        AB|PS|PS_g                3688.7099326802418    All      -0.0008313309122625493     0.000509951879682812       -4.897146672577756e-05    0.0004347145605875993     
MWEBV         All|All|All               All                   All      -0.5018709511244288        -2.765336614248426         0.03656273085104189       -0.7356536055366139       
Redshift      All|All|All               All                   All      4.360606618307024          0.11343842604780718        0.8509684469110712        -1.3454675944730945       
